,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.3328,0.07,rain,28.88,38.15,27.95,0.95,1007.4,1.16,2.1,306,0.24,10,13.52,266.4
1,2020-09-05 13:00:00,Humid,clear-day,0.4877,0.08,rain,30.43,41.7,28.23,0.88,1006.4,1.26,2.3,27,0.24,10,15.512,266.6
2,2020-09-05 14:00:00,Humid,clear-day,0.7128,0.08,rain,31.37,43.3,28.13,0.83,1005.4,1.28,2.42,228,0.24,8,16.093,267.0
3,2020-09-05 15:00:00,Humid,clear-day,0.7972,0.09,rain,31.71,43.84,28.09,0.81,1004.6,1.24,2.41,257,0.24,6,16.093,267.3
4,2020-09-05 16:00:00,Humid,clear-day,0.597,0.09,rain,31.56,44.83,28.73,0.85,1004.1,1.12,2.23,261,0.23,3,16.093,267.6
5,2020-09-05 17:00:00,Humid,clear-day,0.341,0.08,rain,30.49,42.65,28.67,0.9,1003.8,0.96,1.96,262,0.22,1,16.093,267.8
6,2020-09-05 18:00:00,Humid,clear-day,0.1999,0.09,rain,29.12,39.45,28.41,0.96,1003.9,0.88,1.7,236,0.2,0,16.093,268.0
7,2020-09-05 19:00:00,Humid,clear-night,0.1307,0.08,rain,27.82,35.78,27.82,1.0,1004.5,0.9,1.47,164,0.17,0,16.093,268.0
8,2020-09-05 20:00:00,Humid,clear-night,0.0809,0.07,rain,26.23,29.64,26.23,1.0,1005.4,0.97,1.26,77,0.14,0,16.093,267.9
9,2020-09-05 21:00:00,Humid,clear-night,0.0471,0.06,rain,25.34,26.5,25.34,1.0,1006.1,1.03,1.15,24,0.11,0,16.093,267.7
10,2020-09-05 22:00:00,Humid,clear-night,0.0248,0.04,rain,24.92,26.32,24.92,1.0,1006.5,1.07,1.19,21,0.1,0,16.093,267.2
11,2020-09-05 23:00:00,Humid,clear-night,0.0151,0.03,rain,24.8,26.13,24.8,1.0,1006.5,1.11,1.29,38,0.09,0,16.093,266.6
12,2020-09-06 00:00:00,Humid,clear-night,0.0123,0.03,rain,24.74,26.01,24.74,1.0,1006.3,1.15,1.37,49,0.1,0,16.093,266.0
13,2020-09-06 01:00:00,Humid,clear-night,0.0075,0.02,rain,24.56,25.78,24.56,1.0,1005.9,1.22,1.41,46,0.13,0,16.093,265.1
14,2020-09-06 02:00:00,Humid,clear-night,0.0,0.0,,24.28,25.45,24.28,1.0,1005.4,1.28,1.45,43,0.17,0,16.093,264.4
15,2020-09-06 03:00:00,Humid,clear-night,0.0,0.0,,23.87,24.98,23.87,1.0,1004.9,1.29,1.46,40,0.22,0,16.093,264.0
16,2020-09-06 04:00:00,Humid,clear-night,0.0,0.0,,23.14,24.17,23.14,1.0,1005.0,1.25,1.44,34,0.26,0,16.093,264.4
17,2020-09-06 05:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,22.53,23.51,22.53,1.0,1005.4,1.16,1.39,33,0.32,0,16.093,265.0
18,2020-09-06 06:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0136,0.02,rain,22.71,23.72,22.71,1.0,1005.7,1.04,1.27,54,0.37,0,16.093,265.6
19,2020-09-06 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0294,0.02,rain,23.95,24.91,23.75,0.99,1006.3,0.84,1.04,106,0.43,0,16.093,266.1
20,2020-09-06 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0584,0.03,rain,25.98,27.67,24.68,0.93,1006.6,0.64,0.81,174,0.47,2,16.093,266.3
21,2020-09-06 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1052,0.03,rain,27.63,32.69,25.58,0.89,1006.9,0.67,0.79,217,0.5,4,16.093,266.2
22,2020-09-06 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2477,0.05,rain,29.15,36.21,26.28,0.85,1006.7,1.01,1.08,220,0.48,6,16.093,265.4
23,2020-09-06 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5284,0.07,rain,30.19,39.02,26.88,0.82,1006.2,1.44,1.5,216,0.45,8,16.093,264.3
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6852,0.08,rain,30.7,41.07,27.58,0.83,1005.7,1.68,1.86,218,0.43,9,16.093,263.6
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5109,0.08,rain,30.28,41.09,28.05,0.88,1005.1,1.66,2.36,231,0.44,9,16.093,263.4
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3239,0.08,rain,29.28,39.15,28.06,0.93,1004.4,1.54,2.83,243,0.45,7,16.093,263.5
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3078,0.08,rain,28.52,38.4,28.52,1.0,1004.0,1.38,3.0,240,0.46,5,16.093,263.3
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4088,0.1,rain,28.58,40.74,28.58,1.0,1003.7,1.15,2.76,218,0.45,3,16.093,262.8
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5606,0.13,rain,28.12,40.88,28.12,1.0,1003.7,0.91,2.34,154,0.42,1,10.275,262.3
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6524,0.14,rain,27.42,37.7,27.42,1.0,1004.1,0.79,1.98,351,0.36,0,8.821,262.3
31,2020-09-06 19:00:00,Humid,clear-night,0.6384,0.14,rain,26.37,30.56,26.37,1.0,1004.9,0.83,1.68,95,0.22,0,13.602,262.8
32,2020-09-06 20:00:00,Humid,clear-night,0.566,0.14,rain,25.23,26.17,25.23,1.0,1006.0,0.95,1.43,77,0.07,0,16.093,263.5
33,2020-09-06 21:00:00,Humid,clear-night,0.4187,0.13,rain,24.45,25.98,24.45,1.0,1006.7,1.05,1.31,56,0.0,0,16.093,263.8
34,2020-09-06 22:00:00,Humid,clear-night,0.2068,0.1,rain,24.05,25.46,24.05,1.0,1006.9,1.15,1.39,49,0.01,0,16.093,263.5
35,2020-09-06 23:00:00,Humid,clear-night,0.0552,0.06,rain,23.96,25.31,23.96,1.0,1007.0,1.24,1.56,48,0.06,0,16.093,263.1
36,2020-09-07 00:00:00,Humid,clear-night,0.0131,0.03,rain,23.88,25.16,23.88,1.0,1007.2,1.3,1.66,48,0.08,0,16.093,262.7
37,2020-09-07 01:00:00,Humid,clear-night,0.0046,0.02,rain,23.65,24.88,23.65,1.0,1006.6,1.33,1.67,45,0.04,0,16.093,262.4
38,2020-09-07 02:00:00,Humid,clear-night,0.0,0.0,,23.28,24.44,23.28,1.0,1005.8,1.33,1.66,42,0.0,0,16.093,262.4
39,2020-09-07 03:00:00,Humid,clear-night,0.0,0.0,,22.88,23.98,22.88,1.0,1005.4,1.31,1.65,41,0.01,0,16.093,262.4
40,2020-09-07 04:00:00,Humid,clear-night,0.0,0.0,,22.44,23.48,22.44,1.0,1005.7,1.28,1.68,42,0.11,0,16.093,262.6
41,2020-09-07 05:00:00,Clear,clear-night,0.0028,0.01,rain,22.19,23.22,22.19,1.0,1006.0,1.21,1.68,44,0.23,0,16.093,263.0
42,2020-09-07 06:00:00,Humid,clear-night,0.0059,0.04,rain,22.34,23.39,22.34,1.0,1006.6,1.06,1.54,52,0.31,0,16.093,263.4
43,2020-09-07 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0201,0.04,rain,23.1,24.22,23.1,1.0,1007.3,0.78,1.18,67,0.33,0,16.093,263.9
44,2020-09-07 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0727,0.05,rain,24.6,25.85,24.6,1.0,1007.6,0.49,0.8,95,0.33,2,16.093,264.3
45,2020-09-07 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1712,0.06,rain,26.05,28.56,26.05,1.0,1008.0,0.47,0.78,131,0.32,4,16.093,264.2
46,2020-09-07 10:00:00,Humid,clear-day,0.3319,0.06,rain,27.42,33.39,26.54,0.95,1007.8,0.82,1.31,164,0.29,7,16.093,263.3
47,2020-09-07 11:00:00,Humid,clear-day,0.515,0.07,rain,28.93,36.75,26.95,0.89,1007.4,1.29,2.01,201,0.27,9,16.093,262.1
48,2020-09-07 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5346,0.09,rain,30.45,40.14,27.3,0.83,1006.9,1.61,2.49,230,0.32,10,16.093,261.5
