,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.2102,0.06,rain,24.61,25.72,24.48,0.99,1007.8,1.27,1.98,266,0.29,10,16.093,265.4
1,2020-09-05 13:00:00,Humid,clear-day,0.4262,0.07,rain,25.01,26.18,25.0,1.0,1006.8,1.34,2.24,276,0.3,10,16.093,265.4
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7561,0.08,rain,24.81,26.08,24.81,1.0,1005.8,1.34,2.41,223,0.31,8,16.093,265.7
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.939,0.09,rain,24.23,25.63,24.23,1.0,1005.1,1.26,2.44,240,0.32,6,16.093,266.1
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8034,0.1,rain,23.72,25.25,23.72,1.0,1004.6,1.1,2.26,235,0.31,3,16.093,266.5
5,2020-09-05 17:00:00,Humid,clear-day,0.5639,0.11,rain,23.13,24.75,23.13,1.0,1004.3,0.91,1.98,236,0.3,1,15.629,266.9
6,2020-09-05 18:00:00,Clear,clear-day,0.3856,0.11,rain,22.19,23.82,22.19,1.0,1004.4,0.76,1.68,230,0.27,0,15.511,267.1
7,2020-09-05 19:00:00,Clear,clear-night,0.2579,0.11,rain,21.21,22.8,21.21,1.0,1005.1,0.71,1.34,130,0.21,0,16.093,267.1
8,2020-09-05 20:00:00,Clear,clear-night,0.1565,0.09,rain,20.4,21.85,20.4,1.0,1006.1,0.71,1.01,70,0.15,0,16.093,266.8
9,2020-09-05 21:00:00,Clear,clear-night,0.0899,0.07,rain,19.93,21.26,19.93,1.0,1006.9,0.75,0.85,33,0.11,0,16.093,266.6
10,2020-09-05 22:00:00,Clear,clear-night,0.0511,0.05,rain,19.59,20.81,19.59,1.0,1007.2,0.82,0.91,32,0.1,0,16.093,266.4
11,2020-09-05 23:00:00,Clear,clear-night,0.0523,0.04,rain,19.32,20.46,19.32,1.0,1007.2,0.9,1.07,42,0.1,0,16.093,266.2
12,2020-09-06 00:00:00,Clear,clear-night,0.0588,0.03,rain,19.11,20.17,19.11,1.0,1007.1,0.96,1.19,47,0.11,0,16.093,265.7
13,2020-09-06 01:00:00,Clear,clear-night,0.0314,0.02,rain,19.09,20.1,19.09,1.0,1006.9,0.99,1.26,45,0.13,0,16.093,264.9
14,2020-09-06 02:00:00,Clear,clear-night,0.0064,0.02,rain,19.15,20.12,19.15,1.0,1006.3,1.0,1.31,43,0.15,0,16.093,264.0
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,19.19,20.12,19.19,1.0,1005.0,1.0,1.34,42,0.18,0,16.093,263.6
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,19.06,19.97,19.06,1.0,1005.1,1.02,1.35,39,0.21,0,16.093,263.7
17,2020-09-06 05:00:00,Clear,clear-night,0.0064,0.03,rain,19.03,19.95,19.03,1.0,1005.7,1.01,1.32,41,0.25,0,16.093,264.2
