,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.1696,0.05,rain,28.07,34.54,26.54,0.91,1007.7,1.39,2.18,242,0.24,10,14.478,264.8
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3918,0.07,rain,28.13,35.18,26.94,0.93,1006.8,1.37,2.44,252,0.33,9,16.093,264.9
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7292,0.08,rain,27.38,33.83,27.06,0.98,1005.7,1.28,2.6,230,0.42,7,16.093,265.3
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.934,0.09,rain,26.67,32.41,26.67,1.0,1005.0,1.16,2.58,225,0.47,5,16.093,265.7
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8464,0.11,rain,26.49,31.08,26.49,1.0,1004.6,1.0,2.36,193,0.49,3,16.093,266.3
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6424,0.12,rain,26.14,29.68,26.14,1.0,1004.3,0.83,2.01,63,0.48,1,16.093,266.8
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4525,0.12,rain,25.41,26.84,25.41,1.0,1004.4,0.73,1.7,336,0.43,0,16.093,267.1
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2849,0.12,rain,24.52,26.09,24.52,1.0,1005.1,0.75,1.4,68,0.35,0,16.093,267.1
8,2020-09-05 20:00:00,Humid,clear-night,0.156,0.1,rain,23.49,24.94,23.49,1.0,1006.0,0.83,1.14,45,0.26,0,16.093,266.8
9,2020-09-05 21:00:00,Humid,clear-night,0.0834,0.07,rain,22.83,24.24,22.83,1.0,1006.6,0.9,1.01,30,0.19,0,16.093,266.6
10,2020-09-05 22:00:00,Humid,clear-night,0.039,0.05,rain,22.5,23.84,22.5,1.0,1007.1,0.95,1.04,30,0.17,0,16.093,266.5
11,2020-09-05 23:00:00,Humid,clear-night,0.0284,0.03,rain,22.31,23.58,22.31,1.0,1007.1,0.99,1.17,35,0.16,0,16.093,266.2
12,2020-09-06 00:00:00,Humid,clear-night,0.0312,0.01,rain,22.22,23.41,22.22,1.0,1007.0,1.04,1.28,37,0.15,0,16.093,265.7
13,2020-09-06 01:00:00,Clear,clear-night,0.0169,0.01,rain,22.13,23.26,22.13,1.0,1006.7,1.1,1.34,36,0.12,0,16.093,264.8
14,2020-09-06 02:00:00,Clear,clear-night,0.0038,0.01,rain,21.92,22.99,21.92,1.0,1006.0,1.15,1.4,34,0.1,0,16.093,263.9
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,21.34,22.31,21.34,1.0,1005.6,1.18,1.43,33,0.09,0,16.093,263.4
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,20.51,21.38,20.51,1.0,1005.6,1.17,1.43,28,0.09,0,16.093,263.5
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,19.86,20.68,19.86,1.0,1005.7,1.14,1.39,28,0.11,0,16.093,263.9
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,19.88,20.72,19.88,1.0,1006.0,1.03,1.27,51,0.12,0,16.093,264.4
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,21.21,22.12,21.21,1.0,1006.6,0.82,0.98,104,0.12,0,16.093,265.0
20,2020-09-06 08:00:00,Humid,clear-day,0.0,0.0,,23.78,24.7,23.37,0.98,1007.4,0.61,0.68,186,0.13,2,16.093,265.6
21,2020-09-06 09:00:00,Humid,clear-day,0.0301,0.02,rain,25.65,27.22,24.56,0.94,1008.0,0.63,0.69,225,0.15,4,16.093,265.4
22,2020-09-06 10:00:00,Humid,clear-day,0.1563,0.04,rain,26.97,31.2,25.34,0.91,1007.1,1.02,1.13,223,0.18,7,16.093,264.2
23,2020-09-06 11:00:00,Humid,clear-day,0.4304,0.07,rain,27.83,33.54,26.08,0.9,1006.5,1.51,1.72,221,0.23,9,16.093,262.7
24,2020-09-06 12:00:00,Humid,clear-day,0.6649,0.07,rain,28.18,35.09,26.81,0.92,1006.0,1.79,2.21,220,0.28,10,14.922,261.8
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7196,0.08,rain,27.62,34.55,27.21,0.98,1005.3,1.79,2.56,229,0.35,9,16.093,261.7
