,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Mostly Cloudy,partly-cloudy-day,0.398,0.08,rain,26.57,28.57,22.03,0.76,1007.4,1.47,2.24,204,0.61,8,12.815,265.0
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6072,0.08,rain,27.32,30.12,22.9,0.77,1006.3,1.66,2.54,206,0.55,8,14.801,264.0
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8599,0.08,rain,27.11,30.17,23.74,0.82,1005.3,1.81,2.81,214,0.49,7,16.093,263.1
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0571,0.09,rain,26.24,28.57,24.54,0.9,1004.7,1.84,2.94,225,0.49,4,16.093,262.8
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1946,0.1,rain,25.08,26.22,25.08,1.0,1004.3,1.71,2.93,229,0.55,2,12.927,263.1
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3618,0.13,rain,23.86,25.3,23.86,1.0,1004.2,1.49,2.83,231,0.65,1,7.51,263.6
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3937,0.17,rain,22.68,24.21,22.68,1.0,1004.6,1.29,2.68,218,0.75,0,4.507,263.6
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,1.1256,0.17,rain,21.81,23.25,21.81,1.0,1005.6,1.11,2.48,168,0.85,0,4.839,262.8
8,2020-09-05 20:00:00,Overcast,cloudy,0.8068,0.17,rain,20.99,22.27,20.99,1.0,1006.8,0.94,2.23,73,0.95,0,6.504,261.7
9,2020-09-05 21:00:00,Overcast,cloudy,0.6358,0.15,rain,20.28,21.41,20.28,1.0,1007.5,0.79,1.93,327,0.99,0,8.174,260.8
10,2020-09-05 22:00:00,Overcast,cloudy,0.5844,0.15,rain,19.93,20.91,19.93,1.0,1007.6,0.68,1.54,325,0.95,0,9.639,259.9
11,2020-09-05 23:00:00,Overcast,cloudy,0.5696,0.17,rain,19.74,20.58,19.74,1.0,1007.5,0.58,1.14,21,0.88,0,11.328,259.2
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.5217,0.2,rain,19.45,20.19,19.45,1.0,1007.3,0.51,0.88,38,0.81,0,13.222,258.9
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.4063,0.17,rain,19.28,19.96,19.28,1.0,1007.1,0.48,0.72,41,0.73,0,15.567,259.2
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.2881,0.14,rain,19.09,19.74,19.09,1.0,1006.8,0.47,0.63,37,0.65,0,16.093,259.8
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.2075,0.12,rain,18.93,19.52,18.93,1.0,1006.7,0.48,0.58,36,0.61,0,16.093,260.3
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.1549,0.11,rain,18.56,19.11,18.56,1.0,1006.8,0.5,0.58,39,0.63,0,16.093,260.6
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.12,0.1,rain,18.08,18.61,18.08,1.0,1007.0,0.53,0.6,39,0.68,0,16.093,260.9
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1046,0.09,rain,17.95,18.44,17.95,1.0,1007.3,0.51,0.6,36,0.74,0,16.093,261.5
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.1009,0.08,rain,18.98,19.48,18.56,0.97,1007.8,0.43,0.51,75,0.83,1,16.093,262.7
20,2020-09-06 08:00:00,Overcast,cloudy,0.1095,0.07,rain,20.63,21.18,19.5,0.93,1008.3,0.36,0.47,162,0.92,2,16.093,263.8
21,2020-09-06 09:00:00,Overcast,cloudy,0.1467,0.07,rain,22.17,22.77,20.28,0.89,1008.5,0.46,0.67,265,0.94,4,16.093,264.3
22,2020-09-06 10:00:00,Mostly Cloudy,partly-cloudy-day,0.2391,0.07,rain,23.49,24.1,20.75,0.85,1008.0,0.79,1.17,234,0.86,5,16.093,263.8
23,2020-09-06 11:00:00,Mostly Cloudy,partly-cloudy-day,0.3825,0.08,rain,24.85,25.44,21.12,0.8,1007.2,1.19,1.77,195,0.76,7,16.093,262.7
24,2020-09-06 12:00:00,Mostly Cloudy,partly-cloudy-day,0.5316,0.08,rain,26.13,27.08,21.63,0.76,1006.4,1.47,2.22,211,0.7,8,15.775,261.4
25,2020-09-06 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6673,0.08,rain,26.97,29.34,22.31,0.76,1005.7,1.58,2.49,214,0.7,7,14.39,259.5
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8041,0.09,rain,26.93,29.45,22.86,0.78,1004.9,1.61,2.64,210,0.74,6,12.788,257.5
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8991,0.09,rain,26.16,28.11,23.54,0.86,1004.5,1.56,2.64,208,0.77,4,11.285,256.5
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9269,0.1,rain,25.21,26.23,24.73,0.97,1004.5,1.44,2.44,214,0.8,2,9.682,256.8
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9075,0.12,rain,24.05,25.37,24.05,1.0,1004.8,1.27,2.13,232,0.83,1,8.379,257.6
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8569,0.15,rain,22.94,24.36,22.94,1.0,1005.4,1.08,1.89,217,0.87,0,8.51,258.3
31,2020-09-06 19:00:00,Overcast,cloudy,0.7667,0.17,rain,21.9,23.32,21.9,1.0,1006.4,0.9,1.77,163,0.92,0,10.739,258.8
