,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.3774,0.08,rain,26.63,28.53,21.52,0.74,1007.5,1.59,2.61,199,0.57,8,14.774,265.6
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5672,0.08,rain,26.84,29.08,22.32,0.76,1006.4,1.83,2.96,206,0.5,8,16.093,264.6
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8015,0.08,rain,26.21,28.17,23.33,0.84,1005.4,2.02,3.25,217,0.45,7,16.093,263.7
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0334,0.08,rain,25.14,26.08,24.21,0.95,1004.7,2.08,3.46,224,0.45,5,16.093,263.3
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.3028,0.1,rain,23.89,25.15,23.89,1.0,1004.4,1.98,3.6,231,0.52,2,16.093,263.7
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.6343,0.14,rain,22.74,24.18,22.74,1.0,1004.3,1.77,3.67,230,0.63,1,8.466,264.3
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,1.7195,0.19,rain,21.64,23.06,21.64,1.0,1004.6,1.57,3.58,211,0.74,0,3.711,264.2
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,1.3394,0.19,rain,21.02,22.32,21.02,1.0,1005.5,1.34,3.27,155,0.85,0,3.246,263.3
8,2020-09-05 20:00:00,Overcast,cloudy,0.8956,0.19,rain,20.67,21.78,20.67,1.0,1006.7,1.11,2.85,81,0.94,0,4.421,262.2
9,2020-09-05 21:00:00,Overcast,cloudy,0.698,0.17,rain,20.32,21.27,20.32,1.0,1007.4,0.9,2.4,321,0.98,0,5.468,261.2
10,2020-09-05 22:00:00,Overcast,cloudy,0.7008,0.17,rain,19.86,20.66,19.86,1.0,1007.5,0.74,1.88,305,0.92,0,5.82,260.3
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.7376,0.2,rain,19.43,20.09,19.43,1.0,1007.4,0.61,1.35,11,0.83,0,6.677,259.5
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.6875,0.23,rain,19.11,19.7,19.11,1.0,1007.2,0.5,0.95,50,0.72,0,9.397,259.3
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.5253,0.2,rain,19.11,19.69,19.11,1.0,1007.0,0.45,0.71,55,0.62,0,15.01,259.6
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.356,0.16,rain,19.25,19.83,19.16,0.99,1006.7,0.42,0.56,54,0.51,0,16.093,260.3
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.2395,0.12,rain,19.36,19.92,19.13,0.99,1006.6,0.42,0.49,52,0.46,0,16.093,260.9
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.1607,0.11,rain,19.09,19.63,18.87,0.99,1006.6,0.43,0.51,50,0.49,0,16.093,261.1
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.1054,0.1,rain,18.5,19.0,18.42,1.0,1006.8,0.46,0.58,50,0.55,0,16.093,261.5
