,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1874,0.13,rain,30.3,40.25,27.54,0.85,1007.0,1.46,1.61,162,0.83,6,16.093,266.9
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1927,0.12,rain,31.54,43.11,27.87,0.81,1006.0,1.46,2.38,141,0.58,7,16.093,266.5
2,2020-09-05 14:00:00,Humid,clear-day,0.1968,0.12,rain,32.49,45.29,28.17,0.78,1004.9,1.45,3.41,38,0.29,7,16.093,266.3
3,2020-09-05 15:00:00,Humid,clear-day,0.1934,0.13,rain,32.73,45.91,28.28,0.78,1003.9,1.46,3.76,359,0.13,5,16.093,266.1
4,2020-09-05 16:00:00,Humid,clear-day,0.1888,0.14,rain,32.37,45.95,28.58,0.8,1003.3,1.49,3.14,62,0.13,2,16.093,266.1
5,2020-09-05 17:00:00,Humid,clear-day,0.225,0.16,rain,31.29,44.01,28.57,0.86,1002.9,1.51,2.2,52,0.21,1,16.093,266.0
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2613,0.15,rain,30.03,41.48,28.54,0.92,1003.0,1.5,1.62,28,0.35,0,16.093,265.9
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.5358,0.15,rain,28.91,38.78,28.3,0.97,1003.9,1.41,1.57,16,0.55,0,16.093,265.6
8,2020-09-05 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.454,0.19,rain,27.69,35.26,27.68,1.0,1005.0,1.31,1.67,11,0.78,0,16.093,265.3
9,2020-09-05 21:00:00,Humid and Overcast,cloudy,2.4508,0.24,rain,27.03,32.92,26.94,0.99,1005.7,1.23,1.73,12,0.92,0,16.093,264.6
10,2020-09-05 22:00:00,Rain and Humid,rain,2.8763,0.26,rain,26.69,31.5,26.51,0.99,1005.7,1.17,1.74,22,0.93,0,16.093,263.6
11,2020-09-05 23:00:00,Rain and Humid,rain,2.8935,0.3,rain,26.41,29.52,25.98,0.98,1005.5,1.13,1.74,35,0.94,0,16.093,262.5
12,2020-09-06 00:00:00,Rain and Humid,rain,2.5242,0.39,rain,26.1,28.6,25.59,0.97,1005.3,1.09,1.71,38,0.91,0,16.093,262.0
13,2020-09-06 01:00:00,Rain and Humid,rain,1.7888,0.42,rain,25.68,27.37,25.32,0.98,1005.1,1.07,1.65,26,0.76,0,12.746,262.0
14,2020-09-06 02:00:00,Rain and Humid,rain,1.1831,0.39,rain,25.27,26.4,25.18,0.99,1004.8,1.04,1.58,12,0.58,0,7.356,262.3
15,2020-09-06 03:00:00,Rain and Humid,rain,1.0104,0.39,rain,24.84,26.03,24.84,1.0,1004.7,0.98,1.53,18,0.5,0,5.376,262.8
16,2020-09-06 04:00:00,Rain and Humid,rain,1.0689,0.4,rain,24.47,25.66,24.47,1.0,1004.7,0.86,1.5,57,0.54,0,8.029,263.5
17,2020-09-06 05:00:00,Rain and Humid,rain,1.1243,0.39,rain,24.18,25.35,24.18,1.0,1004.9,0.73,1.49,120,0.64,0,12.59,264.4
18,2020-09-06 06:00:00,Rain and Humid,rain,0.9506,0.3,rain,24.15,25.28,24.15,1.0,1005.2,0.71,1.44,182,0.74,0,16.093,265.4
