,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Overcast,cloudy,0.0433,0.05,rain,31.58,41.57,26.98,0.77,1006.4,1.38,1.89,178,0.93,6,16.093,266.8
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0333,0.04,rain,32.44,42.88,26.94,0.73,1005.4,1.43,2.49,123,0.66,7,16.093,266.5
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0312,0.04,rain,33.11,43.84,26.91,0.7,1004.3,1.49,3.35,165,0.34,7,16.093,266.4
3,2020-09-05 15:00:00,Humid,clear-day,0.0325,0.02,rain,33.37,44.34,26.97,0.69,1003.4,1.52,3.73,207,0.19,5,16.093,266.3
4,2020-09-05 16:00:00,Humid,clear-day,0.0309,0.02,rain,33.12,44.57,27.3,0.72,1002.8,1.58,3.42,183,0.22,2,16.093,266.5
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0317,0.02,rain,32.13,43.38,27.49,0.77,1002.3,1.68,2.89,167,0.34,1,16.093,266.6
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0552,0.03,rain,30.82,41.12,27.48,0.82,1002.4,1.79,2.54,137,0.47,0,16.093,266.7
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.401,0.12,rain,29.47,38.08,27.15,0.87,1003.2,1.95,2.46,81,0.6,0,16.093,266.8
8,2020-09-05 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.4349,0.19,rain,28.1,34.85,26.71,0.92,1004.4,2.1,2.44,15,0.74,0,16.093,266.6
9,2020-09-05 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,2.4655,0.2,rain,27.15,32.41,26.41,0.96,1005.1,2.15,2.38,345,0.83,0,16.093,266.1
10,2020-09-05 22:00:00,Humid and Overcast,cloudy,2.7502,0.23,rain,26.52,29.86,25.97,0.97,1005.1,2.05,2.26,5,0.88,0,16.093,264.8
11,2020-09-05 23:00:00,Rain and Humid,rain,2.5734,0.27,rain,26.03,28.34,25.32,0.96,1004.9,1.9,2.12,43,0.91,0,16.093,263.2
