,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3703,0.08,rain,29.37,33.89,23.7,0.72,1007.4,1.44,2.4,201,0.59,8,14.428,265.6
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5604,0.08,rain,29.85,35.43,24.53,0.73,1006.4,1.63,2.7,202,0.54,8,16.093,264.4
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8023,0.09,rain,29.36,35.57,25.4,0.79,1005.4,1.78,2.93,212,0.49,6,16.093,263.5
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.015,0.09,rain,28.5,35.16,26.35,0.88,1004.8,1.8,3.06,227,0.49,4,16.093,263.1
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.196,0.11,rain,27.4,33.87,27.4,1.0,1004.4,1.66,3.08,233,0.56,2,16.093,263.4
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3984,0.14,rain,25.95,28.97,25.95,1.0,1004.3,1.44,3.02,234,0.65,1,9.397,263.9
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.4261,0.18,rain,24.72,26.05,24.72,1.0,1004.7,1.26,2.9,219,0.74,0,5.596,263.9
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.1182,0.17,rain,24.03,25.4,24.03,1.0,1005.6,1.14,2.72,158,0.85,0,5.951,263.0
8,2020-09-05 20:00:00,Humid and Overcast,cloudy,0.7681,0.17,rain,23.44,24.64,23.44,1.0,1006.8,1.02,2.49,62,0.95,0,7.829,261.9
9,2020-09-05 21:00:00,Humid and Overcast,cloudy,0.6081,0.16,rain,22.93,23.98,22.93,1.0,1007.5,0.9,2.17,331,0.99,0,9.234,260.9
10,2020-09-05 22:00:00,Humid and Overcast,cloudy,0.6018,0.15,rain,22.53,23.47,22.53,1.0,1007.6,0.77,1.73,324,0.94,0,9.62,260.1
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.6247,0.17,rain,22.26,23.09,21.89,0.98,1007.5,0.65,1.27,10,0.87,0,10.174,259.3
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.5788,0.19,rain,22.04,22.79,21.28,0.95,1007.3,0.56,0.97,34,0.8,0,11.991,259.0
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.4396,0.17,rain,21.94,22.65,21.0,0.94,1007.1,0.52,0.81,37,0.71,0,15.804,259.3
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.3025,0.14,rain,21.9,22.63,21.11,0.95,1006.8,0.51,0.71,37,0.62,0,16.093,259.8
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.2142,0.12,rain,21.8,22.53,21.01,0.95,1006.7,0.52,0.66,36,0.57,0,16.093,260.3
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.154,0.1,rain,21.34,22.0,20.41,0.94,1006.8,0.54,0.66,34,0.59,0,16.093,260.6
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.1106,0.09,rain,20.84,21.45,19.97,0.95,1007.0,0.57,0.7,32,0.64,0,16.093,261.0
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0907,0.08,rain,20.7,21.3,19.84,0.95,1007.3,0.55,0.69,36,0.71,0,16.093,261.6
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0873,0.06,rain,21.63,22.25,20.27,0.92,1007.8,0.44,0.59,56,0.82,1,16.093,262.6
20,2020-09-06 08:00:00,Overcast,cloudy,0.0964,0.06,rain,23.32,24.0,21.23,0.88,1008.3,0.35,0.54,143,0.92,2,16.093,263.6
21,2020-09-06 09:00:00,Overcast,cloudy,0.1287,0.06,rain,24.77,25.45,21.81,0.84,1008.4,0.43,0.74,287,0.95,4,16.093,264.1
22,2020-09-06 10:00:00,Humid and Overcast,cloudy,0.2089,0.07,rain,26.03,27.12,22.41,0.8,1008.0,0.77,1.25,245,0.88,5,16.093,263.7
23,2020-09-06 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3402,0.07,rain,27.41,30.3,22.88,0.76,1007.2,1.17,1.88,191,0.78,6,15.704,262.9
24,2020-09-06 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4852,0.08,rain,28.79,32.68,23.3,0.72,1006.5,1.45,2.35,211,0.71,7,14.529,261.8
25,2020-09-06 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6333,0.08,rain,29.68,34.41,23.77,0.71,1005.7,1.56,2.62,214,0.71,7,14.142,259.9
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8012,0.09,rain,29.82,35.09,24.24,0.72,1005.0,1.58,2.78,210,0.74,6,13.898,257.9
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9258,0.1,rain,29.14,34.8,25.01,0.78,1004.6,1.53,2.77,206,0.76,4,12.994,256.8
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9672,0.11,rain,28.16,34.5,26.35,0.9,1004.6,1.4,2.52,213,0.79,2,10.865,257.1
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9555,0.13,rain,26.49,31.19,26.49,1.0,1004.8,1.22,2.16,235,0.82,1,8.708,257.8
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9153,0.16,rain,25.22,26.26,25.22,1.0,1005.4,1.06,1.93,217,0.86,0,8.411,258.5
31,2020-09-06 19:00:00,Humid and Overcast,cloudy,0.8345,0.18,rain,24.2,25.57,24.2,1.0,1006.5,0.94,1.89,151,0.92,0,10.821,259.0
32,2020-09-06 20:00:00,Humid and Overcast,cloudy,0.7448,0.18,rain,23.44,24.66,23.44,1.0,1007.6,0.83,1.88,51,0.97,0,14.049,259.4
33,2020-09-06 21:00:00,Humid and Overcast,cloudy,0.6811,0.18,rain,22.83,23.94,22.83,1.0,1008.4,0.73,1.74,329,1.0,0,15.774,259.8
34,2020-09-06 22:00:00,Humid and Overcast,cloudy,0.6527,0.2,rain,22.46,23.47,22.46,1.0,1008.7,0.63,1.41,337,0.99,0,15.371,259.8
35,2020-09-06 23:00:00,Humid and Overcast,cloudy,0.6495,0.23,rain,22.25,23.18,22.25,1.0,1008.6,0.54,1.03,21,0.97,0,14.197,259.8
36,2020-09-07 00:00:00,Possible Light Rain,rain,0.6351,0.26,rain,22.06,22.92,21.93,0.99,1008.5,0.47,0.77,31,0.95,0,13.197,259.7
37,2020-09-07 01:00:00,Overcast,cloudy,0.5774,0.24,rain,21.89,22.69,21.52,0.98,1008.3,0.43,0.66,30,0.97,0,12.285,259.7
38,2020-09-07 02:00:00,Overcast,cloudy,0.508,0.2,rain,21.79,22.58,21.44,0.98,1008.1,0.4,0.62,28,0.98,0,11.593,259.6
39,2020-09-07 03:00:00,Overcast,cloudy,0.4405,0.16,rain,21.69,22.46,21.31,0.98,1007.9,0.39,0.58,28,0.99,0,12.3,259.6
40,2020-09-07 04:00:00,Overcast,cloudy,0.3683,0.13,rain,21.4,22.14,20.96,0.97,1007.9,0.4,0.53,27,0.99,0,15.262,259.6
41,2020-09-07 05:00:00,Overcast,cloudy,0.3006,0.11,rain,21.11,21.84,20.81,0.98,1008.0,0.42,0.5,27,1.0,0,16.093,259.7
42,2020-09-07 06:00:00,Overcast,cloudy,0.2603,0.1,rain,20.99,21.73,20.79,0.99,1008.3,0.45,0.54,47,0.98,0,16.093,259.9
43,2020-09-07 07:00:00,Overcast,cloudy,0.2366,0.09,rain,21.69,22.44,21.13,0.97,1008.9,0.47,0.64,87,0.89,1,16.093,260.4
44,2020-09-07 08:00:00,Mostly Cloudy,partly-cloudy-day,0.238,0.08,rain,22.85,23.63,21.76,0.94,1009.5,0.51,0.81,154,0.78,2,11.691,260.9
45,2020-09-07 09:00:00,Mostly Cloudy,partly-cloudy-day,0.2928,0.09,rain,23.69,24.5,22.21,0.91,1009.7,0.61,1.06,293,0.7,4,8.509,260.7
46,2020-09-07 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4407,0.1,rain,24.26,25.15,22.88,0.92,1009.4,0.8,1.39,276,0.67,6,6.992,259.9
47,2020-09-07 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6647,0.11,rain,24.97,25.86,23.52,0.92,1008.8,1.0,1.76,200,0.65,7,6.238,258.8
48,2020-09-07 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8612,0.11,rain,25.96,27.44,24.15,0.9,1008.2,1.14,2.03,215,0.63,8,6.498,258.0
