,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3134,0.07,rain,26.61,28.78,22.44,0.78,1007.5,1.27,2.0,209,0.53,8,16.093,265.8
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4634,0.08,rain,26.93,29.5,22.99,0.79,1006.4,1.42,2.24,189,0.48,8,16.093,264.5
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6588,0.09,rain,26.38,28.67,23.65,0.85,1005.5,1.55,2.43,182,0.44,7,16.093,263.4
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8188,0.1,rain,25.49,26.99,24.32,0.93,1004.8,1.55,2.48,235,0.45,5,16.093,262.9
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9175,0.11,rain,24.46,25.65,24.46,1.0,1004.5,1.36,2.32,237,0.51,2,15.802,263.2
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0203,0.13,rain,23.42,24.83,23.42,1.0,1004.4,1.11,2.1,245,0.6,1,10.673,263.8
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.029,0.16,rain,22.3,23.7,22.3,1.0,1004.8,0.96,1.97,238,0.7,0,7.647,263.8
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.8428,0.16,rain,21.68,22.89,21.68,1.0,1005.8,0.98,2.02,173,0.82,0,7.48,263.0
8,2020-09-05 20:00:00,Overcast,cloudy,0.6362,0.15,rain,21.13,22.15,21.13,1.0,1007.0,1.03,2.09,34,0.94,0,8.522,261.9
9,2020-09-05 21:00:00,Overcast,cloudy,0.5374,0.14,rain,20.77,21.66,20.77,1.0,1007.7,1.01,1.95,346,1.0,0,9.854,260.9
10,2020-09-05 22:00:00,Overcast,cloudy,0.5153,0.13,rain,20.66,21.5,20.66,1.0,1007.9,0.89,1.53,349,0.97,0,11.464,260.1
11,2020-09-05 23:00:00,Overcast,cloudy,0.5127,0.15,rain,20.55,21.38,20.55,1.0,1007.8,0.73,1.06,16,0.93,0,13.371,259.4
12,2020-09-06 00:00:00,Overcast,cloudy,0.4783,0.16,rain,20.21,20.97,20.21,1.0,1007.6,0.64,0.86,33,0.88,0,15.032,259.1
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.3876,0.16,rain,19.89,20.56,19.89,1.0,1007.4,0.64,0.79,34,0.8,0,16.093,259.2
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.2959,0.14,rain,19.8,20.41,19.55,0.98,1007.1,0.67,0.78,34,0.71,0,16.093,259.6
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.2324,0.12,rain,19.77,20.3,19.1,0.96,1007.0,0.7,0.78,32,0.67,0,16.093,259.9
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.1852,0.1,rain,19.19,19.65,18.38,0.95,1007.1,0.73,0.8,29,0.69,0,16.093,260.2
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.1484,0.09,rain,18.22,18.6,17.53,0.96,1007.3,0.75,0.83,24,0.74,0,14.815,260.5
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1313,0.08,rain,17.69,18.01,17.0,0.96,1007.6,0.71,0.79,19,0.8,0,14.561,261.1
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.1277,0.07,rain,18.58,18.97,17.69,0.95,1008.1,0.56,0.64,9,0.87,1,16.093,262.1
20,2020-09-06 08:00:00,Overcast,cloudy,0.1352,0.07,rain,20.22,20.72,19.05,0.93,1008.6,0.41,0.56,352,0.95,2,16.093,263.1
21,2020-09-06 09:00:00,Overcast,cloudy,0.1623,0.07,rain,21.93,22.55,20.35,0.91,1008.6,0.43,0.73,330,0.96,4,16.093,263.5
22,2020-09-06 10:00:00,Overcast,cloudy,0.2259,0.07,rain,23.45,24.16,21.39,0.88,1008.1,0.71,1.15,140,0.9,5,16.093,263.1
23,2020-09-06 11:00:00,Mostly Cloudy,partly-cloudy-day,0.3287,0.08,rain,24.95,25.65,21.96,0.83,1007.3,1.06,1.65,181,0.81,6,16.093,262.3
24,2020-09-06 12:00:00,Mostly Cloudy,partly-cloudy-day,0.4486,0.08,rain,26.14,27.15,22.12,0.79,1006.5,1.29,2.02,217,0.74,7,15.165,261.1
25,2020-09-06 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5858,0.08,rain,26.72,29.02,22.51,0.78,1005.7,1.36,2.22,225,0.71,7,13.689,259.2
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.744,0.09,rain,26.5,28.71,22.94,0.81,1005.0,1.35,2.31,220,0.7,6,12.299,257.2
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8462,0.1,rain,25.74,27.35,23.56,0.88,1004.6,1.27,2.25,207,0.7,4,11.299,256.2
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8538,0.11,rain,24.84,25.89,24.6,0.99,1004.6,1.11,1.97,191,0.73,2,10.585,256.6
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8141,0.13,rain,23.76,25.04,23.76,1.0,1004.9,0.9,1.61,260,0.78,1,10.328,257.5
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7471,0.15,rain,22.56,23.88,22.56,1.0,1005.5,0.79,1.43,238,0.83,0,11.216,258.3
31,2020-09-06 19:00:00,Overcast,cloudy,0.6357,0.16,rain,21.68,22.88,21.68,1.0,1006.6,0.81,1.48,166,0.9,0,13.877,258.8
32,2020-09-06 20:00:00,Overcast,cloudy,0.5217,0.16,rain,20.99,22.01,20.99,1.0,1007.9,0.87,1.61,14,0.97,0,16.093,259.3
33,2020-09-06 21:00:00,Overcast,cloudy,0.4573,0.15,rain,20.52,21.41,20.52,1.0,1008.7,0.88,1.6,348,1.0,0,16.093,259.6
34,2020-09-06 22:00:00,Overcast,cloudy,0.4451,0.16,rain,20.45,21.31,20.45,1.0,1008.9,0.81,1.39,357,0.99,0,16.093,259.6
35,2020-09-06 23:00:00,Overcast,cloudy,0.4614,0.19,rain,20.35,21.2,20.35,1.0,1008.9,0.72,1.13,14,0.97,0,13.406,259.5
36,2020-09-07 00:00:00,Overcast,cloudy,0.4661,0.22,rain,19.99,20.77,19.99,1.0,1008.8,0.66,0.93,18,0.95,0,12.042,259.4
37,2020-09-07 01:00:00,Overcast,cloudy,0.4345,0.19,rain,19.68,20.4,19.68,1.0,1008.6,0.62,0.83,16,0.96,0,12.498,259.3
38,2020-09-07 02:00:00,Overcast,cloudy,0.3898,0.16,rain,19.58,20.23,19.58,1.0,1008.3,0.6,0.77,13,0.97,0,13.718,259.2
39,2020-09-07 03:00:00,Overcast,cloudy,0.341,0.13,rain,19.57,20.17,19.36,0.99,1008.2,0.59,0.71,14,0.97,0,15.476,259.2
40,2020-09-07 04:00:00,Overcast,cloudy,0.2827,0.11,rain,19.21,19.74,18.84,0.98,1008.2,0.6,0.68,16,0.98,0,16.093,259.3
41,2020-09-07 05:00:00,Overcast,cloudy,0.2259,0.1,rain,18.44,18.91,18.18,0.98,1008.4,0.61,0.66,20,0.98,0,16.093,259.5
42,2020-09-07 06:00:00,Overcast,cloudy,0.1891,0.09,rain,17.89,18.3,17.63,0.98,1008.6,0.61,0.66,32,0.97,0,16.093,259.7
43,2020-09-07 07:00:00,Overcast,cloudy,0.1652,0.08,rain,18.56,19.02,18.18,0.98,1009.1,0.55,0.65,46,0.91,1,16.093,260.1
44,2020-09-07 08:00:00,Mostly Cloudy,partly-cloudy-day,0.1629,0.08,rain,19.78,20.35,19.32,0.97,1009.7,0.5,0.72,219,0.84,2,14.328,260.4
45,2020-09-07 09:00:00,Mostly Cloudy,partly-cloudy-day,0.2051,0.08,rain,20.94,21.63,20.49,0.97,1009.8,0.53,0.93,300,0.78,4,11.297,260.2
46,2020-09-07 10:00:00,Mostly Cloudy,partly-cloudy-day,0.3237,0.1,rain,21.83,22.64,21.6,0.99,1009.4,0.68,1.24,315,0.76,6,9.765,259.3
47,2020-09-07 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5081,0.1,rain,22.73,23.64,22.57,0.99,1008.8,0.86,1.58,198,0.74,7,8.815,258.2
48,2020-09-07 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6766,0.1,rain,23.77,24.69,22.97,0.95,1008.1,0.97,1.79,222,0.73,7,8.385,257.5
