,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0057,0.01,rain,32.96,44.31,27.29,0.72,1006.5,0.79,1.56,217,0.66,7,16.093,268.9
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,33.52,44.68,27.04,0.69,1005.5,1.33,1.94,236,0.7,7,16.093,268.4
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,33.79,44.58,26.77,0.67,1004.5,2.03,2.43,248,0.72,6,16.093,267.9
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,33.8,44.62,26.79,0.67,1003.6,2.3,2.79,254,0.73,4,16.093,267.5
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,33.54,44.98,27.18,0.69,1003.0,1.97,2.98,67,0.71,2,16.093,267.3
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0,0.0,,32.73,44.43,27.54,0.74,1002.6,1.44,3.1,292,0.68,1,16.093,267.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0063,0.02,rain,31.61,42.87,27.68,0.8,1002.6,1.19,3.2,251,0.64,0,16.093,267.0
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0062,0.03,rain,30.44,40.4,27.46,0.84,1003.2,1.38,3.3,252,0.58,0,16.093,267.2
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0141,0.04,rain,29.16,37.22,26.97,0.88,1003.9,1.73,3.34,16,0.51,0,16.093,267.3
9,2020-09-05 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.047,0.05,rain,28.25,34.93,26.58,0.91,1004.4,2.0,3.24,29,0.44,0,16.093,266.9
10,2020-09-05 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1671,0.08,rain,27.65,33.49,26.33,0.93,1004.5,2.18,2.95,75,0.38,0,16.093,265.9
11,2020-09-05 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3889,0.13,rain,27.25,32.51,26.14,0.94,1004.5,2.33,2.6,66,0.33,0,16.093,264.7
