,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0246,0.02,rain,32.87,44.69,27.57,0.74,1006.7,1.59,2.05,220,0.7,7,16.093,268.9
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0222,0.02,rain,33.96,46.32,27.55,0.69,1005.6,1.88,2.34,234,0.67,7,16.093,268.4
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0246,0.02,rain,34.6,46.89,27.38,0.66,1004.6,2.16,2.63,267,0.62,6,16.093,267.8
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0351,0.02,rain,34.42,46.33,27.22,0.66,1003.7,2.21,2.71,235,0.58,4,16.093,267.3
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0563,0.03,rain,33.75,46.32,27.71,0.71,1003.1,1.91,2.49,161,0.54,2,16.093,266.8
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0909,0.05,rain,32.42,45.16,28.16,0.78,1002.7,1.5,2.16,334,0.49,1,16.093,266.3
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1025,0.05,rain,31.17,43.34,28.34,0.85,1002.8,1.27,1.95,279,0.44,0,16.093,265.9
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0674,0.06,rain,30.12,41.09,28.22,0.9,1003.5,1.32,1.89,317,0.37,0,16.093,266.0
8,2020-09-05 20:00:00,Humid,clear-night,0.0437,0.06,rain,29.15,38.84,28.03,0.94,1004.5,1.44,1.89,18,0.3,0,16.093,266.0
9,2020-09-05 21:00:00,Humid,clear-night,0.095,0.07,rain,28.34,36.62,27.68,0.96,1005.1,1.53,1.9,28,0.28,0,16.093,265.6
10,2020-09-05 22:00:00,Humid,clear-night,0.326,0.11,rain,27.79,35.24,27.5,0.98,1005.3,1.55,1.91,74,0.3,0,16.093,264.4
11,2020-09-05 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.7354,0.19,rain,27.28,33.51,26.97,0.98,1005.3,1.57,1.93,64,0.34,0,16.093,263.1
12,2020-09-06 00:00:00,Rain and Humid,rain,0.9105,0.25,rain,26.83,31.73,26.44,0.98,1005.2,1.6,1.98,56,0.39,0,16.093,262.4
13,2020-09-06 01:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.5978,0.24,rain,26.36,29.41,26.06,0.98,1005.0,1.66,2.05,51,0.42,0,16.093,262.5
14,2020-09-06 02:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2551,0.14,rain,25.9,28.03,25.74,0.99,1004.8,1.71,2.08,47,0.45,0,16.093,263.0
15,2020-09-06 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1141,0.1,rain,25.41,26.69,25.32,0.99,1004.6,1.64,2.0,48,0.46,0,16.093,263.4
16,2020-09-06 04:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0513,0.07,rain,24.98,26.11,24.81,0.99,1004.6,1.41,1.76,51,0.47,0,16.093,263.6
17,2020-09-06 05:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0143,0.04,rain,24.71,25.8,24.44,0.98,1004.8,1.14,1.46,54,0.47,0,16.093,263.9
18,2020-09-06 06:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0066,0.03,rain,24.81,25.84,24.51,0.98,1005.1,0.99,1.23,66,0.42,0,16.093,264.4
19,2020-09-06 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0131,0.03,rain,25.62,27.32,25.03,0.97,1005.9,0.99,1.09,93,0.32,1,16.093,265.3
20,2020-09-06 08:00:00,Humid,clear-day,0.0291,0.03,rain,26.98,31.48,25.59,0.92,1006.7,1.1,1.11,115,0.19,2,16.093,266.1
21,2020-09-06 09:00:00,Humid,clear-day,0.0358,0.03,rain,28.03,33.77,25.96,0.89,1007.2,1.3,1.3,135,0.11,5,16.093,266.6
22,2020-09-06 10:00:00,Humid,clear-day,0.0237,0.03,rain,28.96,35.89,26.29,0.86,1007.0,1.62,1.63,161,0.07,8,16.093,266.4
23,2020-09-06 11:00:00,Humid,clear-day,0.0205,0.03,rain,29.81,37.89,26.59,0.83,1006.5,1.98,2.08,178,0.07,10,16.093,265.9
24,2020-09-06 12:00:00,Humid,clear-day,0.0368,0.04,rain,30.75,40.08,26.92,0.8,1005.9,2.2,2.53,182,0.12,11,16.093,265.4
25,2020-09-06 13:00:00,Humid,clear-day,0.0697,0.05,rain,31.82,42.79,27.44,0.78,1005.2,2.26,2.78,181,0.27,9,16.093,264.7
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1214,0.07,rain,32.62,45.08,27.96,0.77,1004.3,2.24,2.91,179,0.45,7,16.093,264.0
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1693,0.08,rain,32.6,45.38,28.12,0.77,1003.7,2.16,2.86,174,0.55,4,16.093,263.5
