,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0845,0.04,rain,28.95,35.1,25.63,0.82,1007.1,1.84,2.59,208,0.54,8,16.093,268.7
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1264,0.04,rain,29.55,36.33,25.75,0.8,1006.1,1.92,2.78,222,0.66,7,16.093,268.0
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2029,0.06,rain,29.52,36.39,25.85,0.81,1005.1,1.9,2.83,232,0.78,6,16.093,266.9
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2541,0.08,rain,28.98,36.02,26.34,0.86,1004.1,1.78,2.74,228,0.83,4,16.093,266.1
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.24,0.09,rain,28.14,35.71,27.28,0.95,1003.6,1.49,2.48,207,0.8,2,16.093,265.6
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2245,0.1,rain,26.59,31.85,26.59,1.0,1003.4,1.16,2.12,34,0.72,1,16.093,265.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2086,0.1,rain,25.35,26.66,25.35,1.0,1003.5,0.95,1.8,314,0.6,0,16.093,264.9
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1502,0.09,rain,24.52,26.02,24.52,1.0,1004.2,0.91,1.5,356,0.43,0,16.093,265.1
8,2020-09-05 20:00:00,Humid,clear-night,0.0911,0.07,rain,24.01,25.45,24.01,1.0,1005.2,0.92,1.23,37,0.25,0,16.093,265.4
9,2020-09-05 21:00:00,Humid,clear-night,0.1015,0.07,rain,23.53,24.91,23.53,1.0,1005.8,0.94,1.1,14,0.14,0,16.093,265.0
10,2020-09-05 22:00:00,Humid,clear-night,0.3244,0.11,rain,23.15,24.47,23.15,1.0,1006.1,0.93,1.17,8,0.13,0,16.093,264.0
11,2020-09-05 23:00:00,Humid,clear-night,0.7797,0.19,rain,22.88,24.14,22.88,1.0,1006.1,0.92,1.32,11,0.18,0,16.093,262.7
12,2020-09-06 00:00:00,Rain and Humid,rain,0.9742,0.26,rain,22.59,23.8,22.59,1.0,1006.0,0.93,1.41,17,0.24,0,16.093,262.0
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.6038,0.22,rain,22.19,23.33,22.19,1.0,1005.8,0.98,1.44,24,0.32,0,16.093,262.1
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.2182,0.1,rain,22.03,23.13,22.03,1.0,1005.5,1.02,1.44,31,0.42,0,16.093,262.3
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.082,0.08,rain,21.98,23.06,21.98,1.0,1005.4,1.01,1.43,32,0.48,0,16.093,262.6
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0321,0.05,rain,21.89,22.95,21.89,1.0,1005.8,0.94,1.42,18,0.5,0,16.093,262.6
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0067,0.03,rain,21.9,22.94,21.9,1.0,1005.7,0.84,1.38,5,0.49,0,16.093,262.7
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0087,0.03,rain,22.07,23.1,22.07,1.0,1006.0,0.74,1.25,19,0.43,0,16.093,263.0
19,2020-09-06 07:00:00,Humid,clear-day,0.0231,0.03,rain,22.56,23.57,22.56,1.0,1007.0,0.63,0.95,68,0.31,1,16.093,263.8
20,2020-09-06 08:00:00,Humid,clear-day,0.0489,0.03,rain,23.72,24.71,23.48,0.99,1007.6,0.59,0.74,128,0.16,2,16.093,264.6
21,2020-09-06 09:00:00,Humid,clear-day,0.0663,0.04,rain,24.82,25.92,23.96,0.95,1007.8,0.75,0.93,169,0.08,5,16.093,264.9
22,2020-09-06 10:00:00,Humid,clear-day,0.0819,0.04,rain,26.03,28.1,24.45,0.91,1007.5,1.15,1.39,184,0.07,8,16.093,264.5
23,2020-09-06 11:00:00,Humid,clear-day,0.1437,0.04,rain,27.23,31.17,24.8,0.87,1006.9,1.64,1.99,189,0.09,10,16.093,263.9
24,2020-09-06 12:00:00,Humid,clear-day,0.2316,0.05,rain,28.33,33.4,25.1,0.83,1006.2,1.95,2.48,193,0.14,11,16.093,263.4
25,2020-09-06 13:00:00,Humid,clear-day,0.3224,0.06,rain,28.87,34.75,25.44,0.82,1005.4,2.03,2.62,202,0.27,9,16.093,263.0
