,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0715,0.03,rain,30.79,38.57,25.86,0.75,1007.5,1.62,2.26,209,0.71,7,16.093,268.1
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1636,0.05,rain,31.53,40.61,26.44,0.74,1006.4,1.73,2.44,214,0.7,7,16.093,267.4
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3143,0.06,rain,31.6,41.8,27.09,0.77,1005.1,1.75,2.53,214,0.69,6,16.093,266.7
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4629,0.07,rain,31.2,42.92,28.08,0.84,1004.4,1.67,2.49,210,0.66,4,16.093,265.8
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6159,0.08,rain,30.49,44.1,29.4,0.94,1003.9,1.44,2.3,208,0.62,2,16.093,264.6
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8133,0.11,rain,28.94,41.32,28.94,1.0,1003.8,1.15,2.02,236,0.58,1,16.093,263.5
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8889,0.13,rain,27.69,38.35,27.69,1.0,1004.0,0.91,1.74,223,0.49,0,16.093,262.8
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.716,0.14,rain,26.73,33.93,26.73,1.0,1004.8,0.73,1.45,197,0.35,0,16.093,262.9
8,2020-09-05 20:00:00,Humid,clear-night,0.4935,0.12,rain,25.9,28.33,25.9,1.0,1005.9,0.58,1.19,96,0.19,0,16.093,263.4
9,2020-09-05 21:00:00,Humid,clear-night,0.3553,0.11,rain,25.2,25.92,25.2,1.0,1006.6,0.51,1.06,62,0.1,0,16.093,263.4
10,2020-09-05 22:00:00,Humid,clear-night,0.2715,0.12,rain,24.83,26.41,24.83,1.0,1006.8,0.52,1.08,44,0.11,0,16.093,262.8
11,2020-09-05 23:00:00,Humid,clear-night,0.2213,0.11,rain,24.55,26.06,24.55,1.0,1006.8,0.58,1.19,23,0.17,0,16.093,262.1
