,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0075,0.01,rain,33.08,44.38,27.23,0.71,1006.5,0.91,1.52,186,0.71,7,16.093,268.6
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0058,0.01,rain,33.6,44.69,26.99,0.68,1005.5,1.46,1.9,232,0.67,7,16.093,268.1
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0078,0.02,rain,33.8,44.48,26.71,0.67,1004.4,2.17,2.42,258,0.61,6,16.093,267.6
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0102,0.02,rain,33.78,44.46,26.71,0.67,1003.6,2.49,2.87,269,0.57,4,16.093,267.2
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0054,0.01,rain,33.52,44.74,27.07,0.69,1003.0,2.23,3.24,309,0.56,2,16.093,267.0
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,32.71,44.18,27.43,0.74,1002.5,1.8,3.57,254,0.57,1,16.093,266.9
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,31.63,42.76,27.6,0.79,1002.5,1.59,3.79,246,0.56,0,16.093,266.8
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,30.52,40.49,27.43,0.84,1003.2,1.66,3.88,216,0.53,0,16.093,267.0
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0061,0.01,rain,29.31,37.52,26.99,0.87,1004.1,1.84,3.86,78,0.5,0,16.093,267.2
9,2020-09-05 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0289,0.05,rain,28.42,35.32,26.62,0.9,1004.3,2.04,3.69,37,0.46,0,16.093,266.8
10,2020-09-05 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1211,0.07,rain,27.84,33.87,26.34,0.92,1004.4,2.27,3.3,94,0.43,0,16.093,265.8
11,2020-09-05 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2925,0.1,rain,27.44,32.85,26.11,0.92,1004.4,2.53,2.85,72,0.39,0,16.093,264.6
12,2020-09-06 00:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3716,0.14,rain,27.02,31.71,26.0,0.94,1004.3,2.65,2.65,72,0.34,0,16.093,263.8
13,2020-09-06 01:00:00,Humid,clear-night,0.2473,0.14,rain,26.46,29.64,25.79,0.96,1004.1,2.6,2.63,65,0.28,0,16.093,263.8
14,2020-09-06 02:00:00,Humid,clear-night,0.1083,0.09,rain,26.05,28.45,25.53,0.97,1003.9,2.44,2.46,49,0.21,0,16.093,264.0
15,2020-09-06 03:00:00,Humid,clear-night,0.0501,0.07,rain,25.69,27.4,25.52,0.99,1003.7,2.23,2.26,50,0.16,0,16.093,264.2
16,2020-09-06 04:00:00,Humid,clear-night,0.0198,0.05,rain,25.44,26.71,25.42,1.0,1003.9,1.95,1.97,61,0.13,0,16.093,264.4
