,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Mostly Cloudy,partly-cloudy-day,0.1647,0.06,rain,21.81,22.74,21.81,1,1007.7,1.32,1.69,267,0.62,8,6.919,265.1
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2812,0.07,rain,22.81,23.8,22.81,1,1006.5,1.38,1.84,262,0.6,8,6.039,264.9
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4393,0.07,rain,23.26,24.35,23.26,1,1005.3,1.42,1.95,261,0.57,7,5.181,264.5
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5638,0.07,rain,22.92,24.23,22.92,1,1004.5,1.39,1.92,265,0.58,5,4.536,263.9
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.6111,0.08,rain,22.17,23.79,22.17,1,1004.2,1.25,1.69,276,0.63,2,4.031,262.8
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.5938,0.09,rain,20.91,22.82,20.91,1,1004.1,1.08,1.4,288,0.69,1,3.816,261.5
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.501,0.1,rain,20.03,22.01,20.03,1,1004.5,0.95,1.21,298,0.7,0,4.314,260.7
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3273,0.09,rain,19.1,21.07,19.1,1,1005.5,0.86,1.11,44,0.62,0,5.664,260.5
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1676,0.09,rain,18.39,20.2,18.39,1,1006.9,0.79,1.05,52,0.51,0,7.545,260.4
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.0905,0.08,rain,17.79,19.4,17.79,1,1008.2,0.76,1.0,40,0.45,0,9.939,260.4
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.0655,0.08,rain,17.3,18.72,17.3,1,1008.5,0.78,0.91,39,0.44,0,13.754,260.5
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.0543,0.07,rain,16.84,18.15,16.84,1,1008.7,0.82,0.86,41,0.44,0,16.093,260.6
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0402,0.06,rain,16.32,17.47,16.32,1,1008.7,0.85,0.85,43,0.43,0,16.093,260.4
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.0215,0.05,rain,15.84,16.76,15.84,1,1008.4,0.88,0.88,37,0.37,0,16.093,259.9
14,2020-09-06 02:00:00,Clear,clear-night,0.0099,0.04,rain,15.57,16.26,15.57,1,1007.7,0.91,0.92,30,0.3,0,16.093,259.2
15,2020-09-06 03:00:00,Clear,clear-night,0.0062,0.04,rain,15.61,16.09,15.61,1,1007.5,0.91,0.94,26,0.29,0,16.093,258.7
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0068,0.03,rain,15.21,15.55,15.21,1,1007.6,0.9,0.92,24,0.33,0,16.093,258.1
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0098,0.03,rain,14.68,14.95,14.68,1,1007.8,0.88,0.9,27,0.4,0,16.093,257.6
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0123,0.03,rain,14.38,14.63,14.38,1,1008.2,0.89,0.91,42,0.45,0,16.093,257.8
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0115,0.03,rain,15.16,15.52,15.16,1,1008.7,0.94,0.96,74,0.5,1,16.093,258.6
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0126,0.03,rain,16.67,17.23,16.67,1,1009.2,1.02,1.04,93,0.54,2,16.093,259.5
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0249,0.03,rain,18.31,19.05,18.31,1,1009.4,1.1,1.14,317,0.57,5,16.093,260.0
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.071,0.05,rain,19.63,20.49,19.63,1,1009.0,1.19,1.32,280,0.57,7,15.935,259.7
23,2020-09-06 11:00:00,Partly Cloudy,partly-cloudy-day,0.1775,0.07,rain,20.77,21.68,20.77,1,1007.5,1.27,1.6,268,0.56,8,9.117,259.1
24,2020-09-06 12:00:00,Partly Cloudy,partly-cloudy-day,0.3339,0.08,rain,22.14,23.04,22.14,1,1006.6,1.35,1.86,259,0.58,9,4.681,258.6
25,2020-09-06 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5427,0.08,rain,23.12,24.1,23.12,1,1005.5,1.42,2.01,256,0.63,8,3.568,257.9
26,2020-09-06 14:00:00,Humid and Foggy,fog,0.7837,0.09,rain,23.53,24.63,23.53,1,1004.6,1.46,2.08,256,0.69,6,2.716,257.3
27,2020-09-06 15:00:00,Humid and Foggy,fog,0.9355,0.1,rain,23.03,24.36,23.03,1,1004.1,1.4,2.0,260,0.75,4,2.28,256.9
28,2020-09-06 16:00:00,Foggy,fog,0.9272,0.1,rain,22.09,23.77,22.09,1,1004.0,1.18,1.69,274,0.79,2,2.182,257.0
29,2020-09-06 17:00:00,Foggy,fog,0.8393,0.11,rain,20.65,22.68,20.65,1,1004.4,0.91,1.33,296,0.83,1,2.441,257.0
30,2020-09-06 18:00:00,Foggy,fog,0.7443,0.13,rain,19.74,21.87,19.74,1,1005.1,0.75,1.14,331,0.88,0,2.969,257.2
31,2020-09-06 19:00:00,Overcast,cloudy,0.6437,0.12,rain,18.85,20.89,18.85,1,1006.3,0.75,1.14,47,0.93,0,3.793,257.4
32,2020-09-06 20:00:00,Overcast,cloudy,0.5401,0.11,rain,18.31,20.1,18.31,1,1007.7,0.82,1.2,38,0.98,0,4.845,257.7
33,2020-09-06 21:00:00,Overcast,cloudy,0.4617,0.11,rain,17.85,19.42,17.85,1,1008.6,0.87,1.23,25,1.0,0,6.056,257.7
34,2020-09-06 22:00:00,Overcast,cloudy,0.4081,0.12,rain,17.42,18.84,17.42,1,1009.0,0.89,1.14,16,0.98,0,7.698,257.4
35,2020-09-06 23:00:00,Overcast,cloudy,0.3638,0.14,rain,17.11,18.44,17.11,1,1009.1,0.91,1.03,11,0.95,0,9.468,257.0
36,2020-09-07 00:00:00,Overcast,cloudy,0.3065,0.16,rain,16.67,17.87,16.67,1,1009.0,0.91,0.99,10,0.9,0,11.341,256.8
37,2020-09-07 01:00:00,Mostly Cloudy,partly-cloudy-night,0.2222,0.12,rain,16.21,17.21,16.21,1,1008.9,0.89,0.96,14,0.83,0,14.213,257.0
