,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Foggy,fog,0.1296,0.06,rain,20.38,21.73,20.38,1.0,1007.8,1.68,1.99,294,0.56,9,0.936,264.0
1,2020-09-05 13:00:00,Foggy,fog,0.228,0.06,rain,21.23,22.59,21.23,1.0,1006.6,1.69,2.08,285,0.61,8,0.944,264.0
2,2020-09-05 14:00:00,Foggy,fog,0.3485,0.06,rain,21.56,22.96,21.56,1.0,1005.4,1.68,2.1,279,0.66,6,1.301,263.5
3,2020-09-05 15:00:00,Foggy,fog,0.4274,0.07,rain,21.01,22.57,21.01,1.0,1004.7,1.61,2.02,280,0.7,4,1.46,263.0
4,2020-09-05 16:00:00,Foggy,fog,0.4352,0.07,rain,19.87,21.61,19.87,1.0,1004.3,1.46,1.79,291,0.73,2,0.983,262.1
5,2020-09-05 17:00:00,Foggy,fog,0.3917,0.07,rain,18.6,20.56,18.6,1.0,1004.3,1.3,1.53,302,0.75,1,0.63,261.1
6,2020-09-05 18:00:00,Foggy,fog,0.3044,0.07,rain,17.8,19.77,17.8,1.0,1004.7,1.19,1.4,315,0.75,0,1.001,260.2
7,2020-09-05 19:00:00,Foggy,fog,0.1724,0.07,rain,17.0,18.91,17.0,1.0,1005.8,1.15,1.28,38,0.74,0,2.728,259.3
8,2020-09-05 20:00:00,Mostly Cloudy,partly-cloudy-night,0.0647,0.06,rain,16.29,18.03,16.29,1.0,1007.4,1.14,1.18,60,0.71,0,4.97,258.6
9,2020-09-05 21:00:00,Mostly Cloudy,partly-cloudy-night,0.024,0.06,rain,15.71,17.25,15.71,1.0,1008.2,1.14,1.17,44,0.7,0,7.623,258.4
10,2020-09-05 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0195,0.06,rain,15.27,16.58,15.27,1.0,1008.4,1.11,1.14,40,0.71,0,12.463,258.8
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0234,0.06,rain,14.91,15.98,14.91,1.0,1008.6,1.09,1.11,41,0.72,0,16.093,259.4
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0232,0.06,rain,14.62,15.46,14.62,1.0,1008.6,1.08,1.09,40,0.67,0,16.093,259.6
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.0157,0.05,rain,14.51,15.14,14.51,1.0,1008.4,1.08,1.09,33,0.54,0,16.093,259.0
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0112,0.04,rain,14.51,14.94,14.51,1.0,1008.1,1.09,1.1,25,0.38,0,16.093,258.2
15,2020-09-06 03:00:00,Clear,clear-night,0.01,0.03,rain,14.9,15.14,14.9,1.0,1007.9,1.1,1.12,20,0.3,0,16.093,257.7
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0095,0.03,rain,14.86,14.99,14.7,0.99,1008.0,1.11,1.12,18,0.33,0,16.093,257.4
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0107,0.03,rain,14.77,14.87,14.55,0.99,1008.3,1.12,1.14,20,0.4,0,16.093,257.2
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0122,0.03,rain,14.73,14.91,14.73,1.0,1008.5,1.15,1.16,29,0.47,0,16.093,257.4
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0107,0.04,rain,15.28,15.64,15.28,1.0,1008.9,1.19,1.2,42,0.52,1,16.093,257.9
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0125,0.04,rain,16.32,16.97,16.32,1.0,1009.3,1.24,1.26,26,0.56,2,16.093,258.5
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0258,0.05,rain,17.55,18.47,17.55,1.0,1009.4,1.32,1.35,344,0.59,5,16.093,258.7
22,2020-09-06 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0788,0.06,rain,18.52,19.67,18.52,1.0,1009.1,1.42,1.45,351,0.6,7,11.236,258.4
23,2020-09-06 11:00:00,Mostly Cloudy,partly-cloudy-day,0.1981,0.07,rain,19.54,20.85,19.54,1.0,1007.6,1.52,1.64,307,0.6,8,4.402,258.0
24,2020-09-06 12:00:00,Foggy,fog,0.333,0.07,rain,20.74,22.11,20.74,1.0,1006.6,1.6,1.93,295,0.62,8,0.409,257.7
25,2020-09-06 13:00:00,Foggy,fog,0.4403,0.08,rain,21.53,22.93,21.53,1.0,1005.6,1.66,2.12,289,0.68,7,0.445,257.4
26,2020-09-06 14:00:00,Foggy,fog,0.5269,0.08,rain,21.77,23.26,21.77,1.0,1004.6,1.7,2.25,284,0.75,6,0.337,257.2
27,2020-09-06 15:00:00,Foggy,fog,0.567,0.09,rain,21.1,22.77,21.1,1.0,1004.1,1.63,2.15,283,0.8,4,0.333,257.0
28,2020-09-06 16:00:00,Foggy,fog,0.5402,0.1,rain,19.91,21.82,19.91,1.0,1004.1,1.41,1.74,289,0.84,2,0.249,256.8
29,2020-09-06 17:00:00,Foggy,fog,0.4772,0.1,rain,18.5,20.69,18.5,1.0,1004.5,1.14,1.26,299,0.87,1,0.316,256.7
30,2020-09-06 18:00:00,Foggy,fog,0.4099,0.1,rain,17.6,19.82,17.6,1.0,1005.2,0.98,1.07,324,0.9,0,0.838,256.6
31,2020-09-06 19:00:00,Foggy,fog,0.3379,0.09,rain,16.63,18.7,16.63,1.0,1006.5,1.0,1.11,66,0.94,0,2.471,256.7
32,2020-09-06 20:00:00,Overcast,cloudy,0.27,0.09,rain,15.79,17.6,15.79,1.0,1008.0,1.09,1.24,49,0.97,0,4.454,256.9
33,2020-09-06 21:00:00,Overcast,cloudy,0.2259,0.08,rain,15.2,16.75,15.2,1.0,1008.9,1.17,1.29,22,0.96,0,6.204,256.7
34,2020-09-06 22:00:00,Overcast,cloudy,0.2101,0.08,rain,14.95,16.24,14.95,1.0,1009.3,1.18,1.23,17,0.92,0,8.04,256.2
35,2020-09-06 23:00:00,Mostly Cloudy,partly-cloudy-night,0.1998,0.08,rain,14.86,15.89,14.86,1.0,1009.4,1.17,1.18,23,0.86,0,9.991,255.6
36,2020-09-07 00:00:00,Mostly Cloudy,partly-cloudy-night,0.1724,0.08,rain,14.78,15.6,14.78,1.0,1009.4,1.13,1.14,26,0.79,0,12.406,255.4
37,2020-09-07 01:00:00,Mostly Cloudy,partly-cloudy-night,0.121,0.07,rain,14.8,15.43,14.8,1.0,1009.4,1.07,1.08,23,0.71,0,15.723,255.7
38,2020-09-07 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0764,0.06,rain,14.89,15.37,14.89,1.0,1009.6,1.02,1.02,20,0.64,0,16.093,256.2
39,2020-09-07 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0586,0.05,rain,15.33,15.68,15.33,1.0,1009.6,0.97,0.98,16,0.61,0,16.093,256.7
40,2020-09-07 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0692,0.06,rain,15.32,15.6,15.32,1.0,1009.7,0.95,0.96,8,0.64,0,16.093,257.1
41,2020-09-07 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0942,0.06,rain,15.14,15.43,15.14,1.0,1009.7,0.95,0.96,3,0.68,0,16.093,257.3
42,2020-09-07 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1137,0.06,rain,15.03,15.38,15.03,1.0,1009.6,0.99,0.99,17,0.69,0,14.918,257.7
43,2020-09-07 07:00:00,Mostly Cloudy,partly-cloudy-day,0.1151,0.07,rain,15.46,15.98,15.46,1.0,1009.9,1.05,1.08,55,0.66,1,10.227,258.3
44,2020-09-07 08:00:00,Mostly Cloudy,partly-cloudy-day,0.1205,0.07,rain,16.44,17.23,16.44,1.0,1010.0,1.15,1.31,70,0.6,2,4.999,258.8
45,2020-09-07 09:00:00,Foggy,fog,0.1588,0.07,rain,17.59,18.6,17.59,1.0,1009.8,1.24,1.46,316,0.57,5,1.579,258.5
46,2020-09-07 10:00:00,Foggy,fog,0.2605,0.07,rain,18.53,19.73,18.53,1.0,1009.2,1.32,1.49,289,0.55,7,0.599,256.9
47,2020-09-07 11:00:00,Foggy,fog,0.4179,0.09,rain,19.51,20.84,19.51,1.0,1008.4,1.4,1.54,278,0.54,8,0.498,255.1
48,2020-09-07 12:00:00,Foggy,fog,0.5738,0.09,rain,20.74,22.12,20.74,1.0,1007.5,1.48,1.73,270,0.58,9,0.508,253.9
