,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0577,0.06,rain,33.23,43.96,26.88,0.69,1006.1,1.63,2.14,200,0.64,7,16.093,268.5
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0296,0.05,rain,34.19,44.73,26.54,0.64,1005.1,1.73,2.48,194,0.65,7,16.093,268.0
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0168,0.03,rain,34.81,45.02,26.22,0.61,1004.0,1.88,2.94,249,0.67,6,16.093,267.5
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0312,0.02,rain,34.93,45.25,26.25,0.61,1003.1,1.91,3.28,243,0.69,4,16.093,267.1
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1446,0.07,rain,34.34,45.3,26.73,0.65,1002.3,1.77,3.45,223,0.7,2,16.093,266.8
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4338,0.11,rain,33.07,44.59,27.35,0.72,1002.0,1.6,3.51,213,0.7,1,16.093,266.6
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5529,0.13,rain,31.66,43.06,27.74,0.8,1002.1,1.64,3.39,226,0.68,0,16.093,266.4
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2723,0.1,rain,30.38,40.38,27.52,0.85,1002.9,2.02,3.03,165,0.63,0,16.093,266.4
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0634,0.06,rain,29.05,37.05,27.01,0.89,1003.8,2.52,2.72,80,0.57,0,16.093,266.4
9,2020-09-05 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0751,0.06,rain,28.07,34.64,26.62,0.92,1004.5,2.81,2.81,47,0.54,0,16.093,266.1
10,2020-09-05 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1207,0.07,rain,27.43,33.02,26.3,0.94,1004.6,2.73,2.73,57,0.54,0,16.093,265.1
11,2020-09-05 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1952,0.09,rain,27.02,31.94,26.03,0.94,1004.5,2.49,2.49,67,0.57,0,16.093,264.0
12,2020-09-06 00:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3301,0.12,rain,26.63,30.77,25.83,0.95,1004.4,2.22,2.22,57,0.61,0,16.093,263.3
13,2020-09-06 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.6272,0.15,rain,26.15,28.66,25.44,0.96,1004.3,1.89,1.89,34,0.66,0,16.093,263.2
14,2020-09-06 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.0712,0.16,rain,25.84,27.79,25.25,0.97,1004.1,1.55,1.55,14,0.71,0,16.093,263.3
15,2020-09-06 03:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.1285,0.17,rain,25.52,26.93,25.24,0.98,1004.0,1.39,1.39,16,0.74,0,16.093,263.5
16,2020-09-06 04:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5359,0.14,rain,25.25,26.41,25.16,0.99,1003.9,1.49,1.5,47,0.73,0,16.093,264.0
17,2020-09-06 05:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0688,0.07,rain,25.11,26.26,25.07,1.0,1004.0,1.68,1.78,85,0.7,0,16.093,264.6
18,2020-09-06 06:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0003,0.03,rain,25.27,26.52,25.16,0.99,1004.4,1.79,1.88,109,0.67,0,16.093,265.3
19,2020-09-06 07:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0228,0.03,rain,26.09,28.67,25.6,0.97,1005.1,1.79,1.79,111,0.66,1,16.093,266.1
20,2020-09-06 08:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0961,0.05,rain,27.47,32.97,26.1,0.92,1006.0,1.79,1.79,108,0.64,2,16.093,267.0
21,2020-09-06 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1573,0.06,rain,28.65,35.41,26.35,0.87,1006.5,1.88,1.88,116,0.6,4,16.093,267.4
22,2020-09-06 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.116,0.06,rain,29.35,36.66,26.31,0.84,1006.4,2.06,2.12,139,0.5,6,16.093,267.4
23,2020-09-06 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0584,0.05,rain,29.87,37.49,26.22,0.81,1006.0,2.26,2.7,156,0.41,8,16.093,267.0
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0287,0.05,rain,30.48,38.6,26.25,0.78,1005.4,2.44,3.21,157,0.4,9,16.093,266.4
