,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0474,0.05,rain,31.72,42.79,27.54,0.79,1006.5,1.83,2.41,175,0.83,6,16.093,268.0
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0501,0.05,rain,32.88,44.29,27.35,0.73,1005.5,1.74,2.87,191,0.73,6,16.093,267.8
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0625,0.07,rain,33.75,45.14,27.11,0.68,1004.4,1.61,3.46,210,0.61,6,16.093,267.8
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.098,0.07,rain,34.03,45.66,27.16,0.67,1003.5,1.49,3.62,198,0.53,4,16.093,267.6
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1844,0.08,rain,33.45,45.69,27.62,0.72,1002.8,1.32,3.15,149,0.5,2,16.093,267.4
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3426,0.11,rain,32.13,44.41,28.03,0.79,1002.5,1.18,2.46,77,0.5,1,16.093,267.2
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5118,0.14,rain,30.72,42.31,28.25,0.87,1002.6,1.21,1.93,39,0.51,0,16.093,266.8
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.6803,0.16,rain,29.52,39.48,27.97,0.91,1003.4,1.48,1.7,58,0.53,0,16.093,266.5
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.898,0.16,rain,28.28,36.19,27.45,0.95,1004.5,1.81,1.85,49,0.56,0,16.093,266.2
9,2020-09-05 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.0653,0.17,rain,27.53,34.15,27.09,0.97,1005.1,1.96,1.96,39,0.61,0,16.093,265.5
10,2020-09-05 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.0731,0.18,rain,27.03,32.62,26.66,0.98,1005.2,1.9,1.9,53,0.66,0,16.093,264.4
11,2020-09-05 23:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.0129,0.19,rain,26.66,31.02,26.04,0.96,1005.1,1.74,1.74,61,0.73,0,11.767,263.3
12,2020-09-06 00:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.053,0.22,rain,26.32,29.18,25.63,0.96,1004.9,1.57,1.58,59,0.8,0,10.86,262.5
13,2020-09-06 01:00:00,Rain and Humid,rain,1.3158,0.25,rain,25.91,28.01,25.34,0.97,1004.8,1.37,1.51,36,0.88,0,15.062,262.3
14,2020-09-06 02:00:00,Humid and Overcast,cloudy,1.5978,0.24,rain,25.58,27.07,25.22,0.98,1004.5,1.16,1.5,10,0.95,0,16.093,262.4
15,2020-09-06 03:00:00,Humid and Overcast,cloudy,1.452,0.24,rain,25.26,26.41,25.19,1.0,1004.4,1.08,1.52,7,0.95,0,16.093,262.7
16,2020-09-06 04:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.7564,0.22,rain,24.91,26.08,24.91,1.0,1004.4,1.17,1.62,36,0.84,0,16.093,263.3
17,2020-09-06 05:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1989,0.12,rain,24.73,25.89,24.73,1.0,1004.4,1.33,1.72,75,0.7,0,16.093,263.9
18,2020-09-06 06:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0489,0.07,rain,24.81,25.92,24.81,1.0,1004.7,1.41,1.65,103,0.65,0,16.093,264.7
19,2020-09-06 07:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0908,0.07,rain,25.52,27.05,25.27,0.99,1005.5,1.34,1.36,110,0.73,1,16.093,265.6
20,2020-09-06 08:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2301,0.09,rain,26.75,30.55,25.91,0.95,1006.4,1.27,1.27,116,0.84,2,16.093,266.4
21,2020-09-06 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3179,0.1,rain,27.79,33.56,26.1,0.91,1006.8,1.37,1.37,128,0.85,4,16.093,266.8
22,2020-09-06 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2366,0.11,rain,28.51,34.94,26.2,0.87,1006.7,1.7,1.85,148,0.71,6,16.093,266.7
23,2020-09-06 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1418,0.1,rain,29.1,36.22,26.34,0.85,1006.4,2.06,2.91,167,0.53,8,16.093,266.3
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1067,0.09,rain,29.71,37.5,26.44,0.83,1005.8,2.3,3.56,174,0.44,9,16.093,265.8
