,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0346,0.05,rain,8.42,7.44,8.42,1,1007.7,1.9,2.67,327,0.19,12,5.218,258.2
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.0681,0.07,rain,8.28,7.28,8.28,1,1006.6,1.9,2.72,338,0.45,10,4.393,257.1
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.1198,0.08,rain,7.59,6.52,7.59,1,1005.8,1.85,2.65,300,0.74,7,3.492,255.9
3,2020-09-05 15:00:00,Overcast,cloudy,0.1487,0.08,rain,6.69,5.54,6.69,1,1005.2,1.8,2.5,301,0.91,4,3.691,255.0
4,2020-09-05 16:00:00,Overcast,cloudy,0.1295,0.08,rain,5.79,4.56,5.79,1,1005.0,1.74,2.31,303,0.91,2,5.137,254.3
5,2020-09-05 17:00:00,Overcast,cloudy,0.0946,0.09,rain,4.91,3.64,4.91,1,1005.2,1.66,2.07,324,0.91,1,6.864,253.8
6,2020-09-05 18:00:00,Overcast,cloudy,0.0671,0.08,rain,4.48,3.24,4.48,1,1005.7,1.58,1.88,341,0.92,0,7.001,253.5
7,2020-09-05 19:00:00,Overcast,cloudy,0.0413,0.08,rain,4.06,2.84,4.06,1,1006.9,1.52,1.77,336,0.95,0,4.81,253.5
8,2020-09-05 20:00:00,Foggy,fog,0.022,0.07,rain,3.72,2.53,3.72,1,1008.4,1.45,1.66,335,0.98,0,1.918,253.6
9,2020-09-05 21:00:00,Foggy,fog,0.0147,0.05,rain,3.61,2.74,3.61,1,1009.3,1.36,1.56,13,1.0,0,0.21,253.5
10,2020-09-05 22:00:00,Foggy,fog,0.0163,0.05,rain,3.68,3.75,3.68,1,1009.6,1.22,1.45,69,1.0,0,0.098,253.2
11,2020-09-05 23:00:00,Foggy,fog,0.0192,0.06,rain,3.72,3.72,3.72,1,1009.7,1.08,1.35,12,1.0,0,0.168,252.8
12,2020-09-06 00:00:00,Foggy,fog,0.018,0.06,rain,3.6,3.6,3.6,1,1009.5,0.99,1.28,327,0.98,0,1.848,252.4
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0106,0.06,rain,3.33,3.33,3.33,1,1008.9,0.96,1.24,335,0.86,0,8.286,252.0
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0053,0.04,rain,2.96,2.96,2.96,1,1008.6,0.97,1.22,343,0.72,0,15.802,251.7
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,2.82,2.82,2.82,1,1008.4,0.96,1.17,347,0.6,0,16.093,251.5
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0049,0.01,rain,2.55,2.55,2.55,1,1008.6,0.9,1.06,341,0.53,0,16.093,251.4
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0072,0.04,rain,2.1,2.1,2.1,1,1009.0,0.86,0.97,336,0.47,0,16.093,251.3
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.008,0.04,rain,2.03,2.03,2.03,1,1009.3,0.9,1.0,351,0.47,0,16.093,251.8
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0058,0.03,rain,2.54,2.57,2.54,1,1009.6,1.07,1.18,36,0.54,1,16.093,253.0
20,2020-09-06 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,3.72,3.51,3.72,1,1009.7,1.3,1.44,60,0.62,3,16.093,254.3
21,2020-09-06 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0047,0.01,rain,4.98,3.85,4.98,1,1009.4,1.52,1.69,334,0.67,5,16.093,254.9
22,2020-09-06 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0079,0.04,rain,6.34,5.21,6.34,1,1008.7,1.73,2.02,317,0.64,7,16.093,254.7
23,2020-09-06 11:00:00,Mostly Cloudy,partly-cloudy-day,0.0233,0.06,rain,7.67,6.54,7.67,1,1008.1,1.93,2.65,328,0.6,9,11.61,254.1
24,2020-09-06 12:00:00,Mostly Cloudy,partly-cloudy-day,0.0437,0.07,rain,8.35,7.25,8.35,1,1006.9,2.01,2.96,341,0.61,9,7.234,253.0
25,2020-09-06 13:00:00,Mostly Cloudy,partly-cloudy-day,0.0695,0.07,rain,8.11,7.05,8.11,1,1006.0,1.94,2.82,316,0.69,8,5.617,251.5
26,2020-09-06 14:00:00,Mostly Cloudy,partly-cloudy-day,0.1083,0.08,rain,7.25,6.19,7.25,1,1005.3,1.8,2.5,301,0.79,7,3.413,250.0
