,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Foggy,fog,0.1052,0.08,rain,13.4,15.49,13.4,1,1007.9,1.98,2.71,321,0.29,11,0.891,260.5
1,2020-09-05 13:00:00,Foggy,fog,0.1752,0.09,rain,13.1,15.52,13.1,1,1006.6,1.95,2.77,322,0.53,9,0.78,259.4
2,2020-09-05 14:00:00,Foggy,fog,0.2775,0.1,rain,12.48,15.26,12.48,1,1005.3,1.88,2.68,327,0.81,6,0.715,258.1
3,2020-09-05 15:00:00,Foggy,fog,0.3452,0.1,rain,11.8,14.89,11.8,1,1004.6,1.82,2.52,306,0.97,4,0.792,257.2
4,2020-09-05 16:00:00,Foggy,fog,0.3312,0.11,rain,11.13,14.22,11.13,1,1004.3,1.78,2.29,312,0.96,2,0.478,256.5
5,2020-09-05 17:00:00,Foggy,fog,0.2809,0.12,rain,10.46,13.55,10.46,1,1004.4,1.72,2.0,324,0.96,1,0.237,255.8
6,2020-09-05 18:00:00,Foggy,fog,0.2284,0.12,rain,10.14,12.28,10.14,1,1004.9,1.64,1.76,336,0.97,0,0.186,255.5
7,2020-09-05 19:00:00,Foggy,fog,0.1665,0.11,rain,9.87,9.21,9.87,1,1006.4,1.55,1.62,332,0.98,0,0.457,255.5
8,2020-09-05 20:00:00,Foggy,fog,0.1087,0.09,rain,9.62,9.23,9.62,1,1007.9,1.45,1.47,333,0.99,0,0.896,255.6
9,2020-09-05 21:00:00,Foggy,fog,0.0695,0.07,rain,9.32,9.45,9.32,1,1008.7,1.33,1.34,3,0.99,0,1.654,255.4
10,2020-09-05 22:00:00,Overcast,cloudy,0.0445,0.07,rain,9.13,10.91,9.13,1,1008.8,1.16,1.17,49,0.99,0,3.235,255.1
11,2020-09-05 23:00:00,Overcast,cloudy,0.0304,0.07,rain,9.01,10.4,9.01,1,1008.8,1.01,1.02,358,0.99,0,5.159,254.7
12,2020-09-06 00:00:00,Overcast,cloudy,0.0226,0.07,rain,8.9,10.08,8.9,1,1008.5,0.94,0.96,332,0.96,0,7.925,254.3
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0127,0.06,rain,8.84,9.87,8.84,1,1008.2,0.99,1.02,333,0.82,0,14.014,253.9
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0069,0.05,rain,8.8,9.69,8.8,1,1007.7,1.1,1.14,339,0.65,0,16.093,253.7
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0057,0.04,rain,8.96,9.59,8.96,1,1007.8,1.15,1.2,344,0.53,0,16.093,253.5
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0063,0.04,rain,8.82,9.31,8.82,1,1007.9,1.12,1.15,340,0.47,0,16.093,253.4
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0082,0.04,rain,8.62,9.1,8.62,1,1008.1,1.07,1.09,338,0.44,0,16.093,253.4
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0082,0.04,rain,8.54,9.17,8.54,1,1008.4,1.1,1.11,352,0.47,0,16.093,253.8
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0052,0.03,rain,9.05,9.57,9.05,1,1008.7,1.24,1.24,28,0.6,1,16.093,255.1
20,2020-09-06 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,10.19,10.15,10.19,1,1009.3,1.43,1.43,48,0.75,3,16.093,256.5
21,2020-09-06 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0061,0.03,rain,11.4,12.61,11.4,1,1009.4,1.62,1.62,338,0.84,4,16.093,257.1
22,2020-09-06 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0203,0.04,rain,12.58,13.9,12.58,1,1008.5,1.83,2.0,328,0.83,6,15.197,256.9
23,2020-09-06 11:00:00,Mostly Cloudy,partly-cloudy-day,0.0664,0.07,rain,13.48,15.06,13.48,1,1007.9,2.02,2.71,335,0.78,7,6.108,256.4
24,2020-09-06 12:00:00,Foggy,fog,0.1233,0.08,rain,13.78,15.68,13.78,1,1007.1,2.08,3.04,350,0.78,8,0.756,255.3
25,2020-09-06 13:00:00,Foggy,fog,0.1801,0.09,rain,13.16,15.47,13.16,1,1005.9,1.94,2.83,331,0.85,7,0.737,253.7
26,2020-09-06 14:00:00,Foggy,fog,0.2586,0.1,rain,12.16,14.92,12.16,1,1004.9,1.72,2.4,323,0.94,6,0.782,252.0
27,2020-09-06 15:00:00,Foggy,fog,0.3214,0.11,rain,11.19,14.32,11.19,1,1004.3,1.58,2.08,314,0.99,4,1.064,251.1
28,2020-09-06 16:00:00,Foggy,fog,0.3351,0.12,rain,10.61,13.85,10.61,1,1004.4,1.58,1.97,318,0.99,2,1.354,251.4
29,2020-09-06 17:00:00,Foggy,fog,0.3312,0.12,rain,9.98,12.38,9.98,1,1004.8,1.6,1.88,334,0.99,1,1.741,252.3
30,2020-09-06 18:00:00,Foggy,fog,0.2998,0.12,rain,9.81,9.1,9.81,1,1005.6,1.58,1.75,336,0.99,0,1.881,252.8
31,2020-09-06 19:00:00,Foggy,fog,0.2168,0.12,rain,9.65,9.2,9.65,1,1007.0,1.5,1.58,343,0.99,0,1.58,252.9
32,2020-09-06 20:00:00,Foggy,fog,0.1267,0.11,rain,9.38,9.54,9.38,1,1008.6,1.4,1.45,340,1.0,0,1.26,253.0
33,2020-09-06 21:00:00,Foggy,fog,0.0699,0.1,rain,9.1,11.28,9.1,1,1009.6,1.31,1.35,334,0.99,0,2.071,253.0
