,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0444,0.06,rain,9.19,8.27,9.19,1,1007.7,1.97,2.67,322,0.2,12,3.633,258.6
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.0816,0.08,rain,9.05,8.12,9.05,1,1006.7,1.96,2.73,330,0.47,10,3.409,257.5
2,2020-09-05 14:00:00,Foggy,fog,0.1386,0.08,rain,8.38,7.39,8.38,1,1005.8,1.91,2.65,308,0.77,7,3.182,256.3
3,2020-09-05 15:00:00,Overcast,cloudy,0.1697,0.08,rain,7.58,6.53,7.58,1,1005.2,1.83,2.5,300,0.94,4,3.539,255.4
4,2020-09-05 16:00:00,Overcast,cloudy,0.1459,0.09,rain,6.77,5.66,6.77,1,1005.0,1.76,2.28,304,0.94,2,4.304,254.7
5,2020-09-05 17:00:00,Overcast,cloudy,0.1044,0.09,rain,5.92,4.79,5.92,1,1005.2,1.67,2.01,323,0.93,1,5.195,254.1
6,2020-09-05 18:00:00,Overcast,cloudy,0.0723,0.09,rain,5.46,4.38,5.46,1,1005.7,1.58,1.8,338,0.93,0,5.204,253.8
7,2020-09-05 19:00:00,Overcast,cloudy,0.0437,0.08,rain,4.99,3.94,4.99,1,1006.8,1.5,1.69,336,0.95,0,4.002,253.8
8,2020-09-05 20:00:00,Foggy,fog,0.0223,0.07,rain,4.59,3.52,4.59,1,1008.2,1.42,1.57,339,0.97,0,2.468,254.0
9,2020-09-05 21:00:00,Foggy,fog,0.0138,0.05,rain,4.44,4.23,4.44,1,1009.1,1.32,1.46,11,0.98,0,1.751,253.9
10,2020-09-05 22:00:00,Foggy,fog,0.0149,0.05,rain,4.53,7.22,4.53,1,1009.4,1.17,1.34,62,0.98,0,2.115,253.6
11,2020-09-05 23:00:00,Foggy,fog,0.0173,0.06,rain,4.6,6.74,4.6,1,1009.5,1.04,1.24,9,0.98,0,2.593,253.2
12,2020-09-06 00:00:00,Overcast,cloudy,0.0154,0.07,rain,4.43,5.92,4.43,1,1009.3,0.95,1.17,335,0.96,0,4.443,252.8
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0072,0.05,rain,4.01,3.88,4.01,1,1008.4,0.94,1.15,340,0.85,0,10.611,252.4
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,3.56,3.56,3.56,1,1008.1,0.97,1.16,346,0.7,0,16.093,252.1
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,3.54,3.54,3.54,1,1008.1,0.97,1.13,349,0.59,0,16.093,251.8
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0028,0.01,rain,3.2,3.2,3.2,1,1008.4,0.91,1.04,343,0.51,0,16.093,251.7
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0061,0.04,rain,2.66,2.66,2.66,1,1008.8,0.87,0.95,340,0.46,0,16.093,251.6
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0074,0.04,rain,2.56,2.56,2.56,1,1009.0,0.91,0.98,353,0.46,0,16.093,252.0
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.005,0.03,rain,3.05,3.07,3.05,1,1009.4,1.09,1.17,30,0.55,1,16.093,253.3
20,2020-09-06 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,4.37,4.17,4.37,1,1009.4,1.32,1.43,55,0.66,3,16.093,254.6
21,2020-09-06 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,5.81,4.75,5.81,1,1009.2,1.55,1.68,331,0.72,5,16.093,255.3
22,2020-09-06 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0074,0.01,rain,7.17,6.11,7.17,1,1008.6,1.78,2.03,323,0.69,7,16.093,255.0
23,2020-09-06 11:00:00,Mostly Cloudy,partly-cloudy-day,0.0256,0.06,rain,8.54,7.5,8.54,1,1008.1,2.0,2.68,327,0.64,9,10.25,254.4
24,2020-09-06 12:00:00,Mostly Cloudy,partly-cloudy-day,0.0496,0.07,rain,9.32,8.32,9.32,1,1006.9,2.09,2.99,338,0.64,9,5.543,253.3
25,2020-09-06 13:00:00,Mostly Cloudy,partly-cloudy-day,0.0782,0.08,rain,8.91,7.92,8.91,1,1006.0,2.0,2.83,315,0.72,8,4.45,251.8
26,2020-09-06 14:00:00,Foggy,fog,0.1208,0.08,rain,7.92,6.94,7.92,1,1005.3,1.82,2.47,301,0.82,6,2.845,250.4
27,2020-09-06 15:00:00,Foggy,fog,0.1473,0.09,rain,6.93,5.92,6.93,1,1004.9,1.7,2.22,295,0.88,4,1.734,249.5
28,2020-09-06 16:00:00,Foggy,fog,0.1312,0.09,rain,6.2,5.13,6.2,1,1005.0,1.66,2.15,302,0.9,2,1.0,249.8
29,2020-09-06 17:00:00,Foggy,fog,0.1063,0.09,rain,5.43,4.28,5.43,1,1005.6,1.63,2.09,322,0.91,1,0.516,250.5
30,2020-09-06 18:00:00,Foggy,fog,0.0877,0.1,rain,5.17,4.06,5.17,1,1006.4,1.57,1.98,321,0.93,0,0.198,250.9
31,2020-09-06 19:00:00,Foggy,fog,0.0642,0.09,rain,4.97,3.86,4.97,1,1007.5,1.48,1.78,328,0.96,0,0.022,251.1
32,2020-09-06 20:00:00,Foggy,fog,0.0398,0.08,rain,4.83,4.73,4.83,1,1008.9,1.38,1.62,332,0.99,0,0.017,251.2
33,2020-09-06 21:00:00,Foggy,fog,0.0222,0.07,rain,4.83,8.13,4.83,1,1009.8,1.29,1.51,329,1.0,0,0.718,251.2
34,2020-09-06 22:00:00,Overcast,cloudy,0.0103,0.05,rain,4.75,7.34,4.75,1,1009.9,1.23,1.46,322,1.0,0,3.921,251.2
35,2020-09-06 23:00:00,Overcast,cloudy,0.0084,0.04,rain,4.56,6.3,4.56,1,1009.6,1.17,1.42,315,1.0,0,7.917,251.2
