,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.3964,0.09,rain,18.03,19.9,18.03,1,1007.5,1.3,2.02,210,0.47,10,7.323,264.4
1,2020-09-05 13:00:00,Mostly Cloudy,partly-cloudy-day,0.5251,0.09,rain,18.33,20.33,18.33,1,1006.3,1.34,2.23,203,0.6,8,5.474,263.5
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.6634,0.11,rain,18.16,20.32,18.16,1,1005.3,1.35,2.38,258,0.72,6,4.387,262.7
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.7577,0.12,rain,17.5,19.92,17.5,1,1004.6,1.3,2.36,236,0.8,4,3.395,261.8
4,2020-09-05 16:00:00,Foggy,fog,0.75,0.12,rain,16.6,19.35,16.6,1,1004.3,1.18,2.14,231,0.81,2,2.264,260.8
5,2020-09-05 17:00:00,Foggy,fog,0.6827,0.14,rain,15.46,18.44,15.46,1,1004.2,1.02,1.8,324,0.8,1,1.52,260.0
6,2020-09-05 18:00:00,Foggy,fog,0.6092,0.15,rain,14.6,17.5,14.6,1,1004.5,0.86,1.46,347,0.81,0,1.76,259.5
7,2020-09-05 19:00:00,Foggy,fog,0.55,0.15,rain,13.99,16.61,13.99,1,1005.5,0.74,1.11,341,0.86,0,3.218,259.4
8,2020-09-05 20:00:00,Overcast,cloudy,0.5207,0.15,rain,13.9,16.14,13.9,1,1006.7,0.66,0.81,335,0.92,0,5.292,259.6
9,2020-09-05 21:00:00,Overcast,cloudy,0.4627,0.14,rain,13.8,15.71,13.8,1,1007.4,0.62,0.67,9,0.95,0,7.958,259.3
10,2020-09-05 22:00:00,Overcast,cloudy,0.3197,0.13,rain,13.45,15.09,13.45,1,1007.6,0.61,0.67,35,0.97,0,12.631,258.8
11,2020-09-05 23:00:00,Overcast,cloudy,0.1804,0.1,rain,13.07,14.46,13.07,1,1007.8,0.63,0.72,1,0.97,0,16.093,258.1
12,2020-09-06 00:00:00,Overcast,cloudy,0.1076,0.08,rain,12.83,14.0,12.83,1,1007.9,0.66,0.8,338,0.91,0,16.093,257.6
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0748,0.07,rain,12.72,13.73,12.72,1,1007.7,0.72,0.91,335,0.77,0,16.093,257.5
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.055,0.06,rain,12.77,13.65,12.77,1,1007.5,0.79,1.03,340,0.6,0,16.093,257.5
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0408,0.05,rain,12.95,13.64,12.95,1,1007.5,0.87,1.12,346,0.49,0,16.093,257.5
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0276,0.04,rain,12.95,13.49,12.95,1,1007.4,0.96,1.16,348,0.43,0,16.093,257.5
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0205,0.03,rain,12.92,13.37,12.92,1,1007.4,1.04,1.18,356,0.42,0,16.093,257.7
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0199,0.03,rain,12.93,13.4,12.93,1,1007.7,1.06,1.17,18,0.49,0,16.093,258.2
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0242,0.03,rain,13.51,14.13,13.51,1,1008.4,1.01,1.06,62,0.65,1,16.093,259.1
20,2020-09-06 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0357,0.02,rain,14.6,15.41,14.6,1,1009.2,0.97,0.97,112,0.85,2,16.093,260.1
21,2020-09-06 09:00:00,Overcast,cloudy,0.0615,0.03,rain,15.93,16.91,15.93,1,1009.2,1.01,1.05,173,0.95,4,16.093,260.8
22,2020-09-06 10:00:00,Overcast,cloudy,0.1423,0.05,rain,17.16,18.3,17.16,1,1008.5,1.19,1.47,187,0.92,6,16.093,260.8
23,2020-09-06 11:00:00,Mostly Cloudy,partly-cloudy-day,0.3084,0.07,rain,18.42,19.68,18.42,1,1007.3,1.38,2.0,200,0.84,7,9.944,260.7
24,2020-09-06 12:00:00,Mostly Cloudy,partly-cloudy-day,0.4692,0.08,rain,19.2,20.65,19.2,1,1006.5,1.47,2.27,201,0.81,7,5.336,259.8
25,2020-09-06 13:00:00,Mostly Cloudy,partly-cloudy-day,0.5597,0.08,rain,19.12,20.8,19.12,1,1005.6,1.4,2.17,193,0.85,7,4.163,258.2
26,2020-09-06 14:00:00,Overcast,cloudy,0.6749,0.1,rain,18.24,20.24,18.24,1,1004.8,1.27,1.92,192,0.92,6,4.442,256.3
27,2020-09-06 15:00:00,Overcast,cloudy,0.8135,0.13,rain,17.04,19.41,17.04,1,1004.4,1.14,1.69,247,0.96,4,4.95,255.4
28,2020-09-06 16:00:00,Overcast,cloudy,0.9568,0.15,rain,16.05,18.82,16.05,1,1004.4,1.02,1.49,235,0.97,2,5.544,255.7
29,2020-09-06 17:00:00,Overcast,cloudy,1.107,0.19,rain,15.07,18.04,15.07,1,1004.7,0.9,1.29,353,0.97,1,6.522,256.4
30,2020-09-06 18:00:00,Overcast,cloudy,1.1195,0.2,rain,14.2,17.12,14.2,1,1005.3,0.8,1.12,344,0.97,0,7.514,256.9
31,2020-09-06 19:00:00,Overcast,cloudy,0.8912,0.18,rain,13.67,16.27,13.67,1,1006.3,0.73,0.98,44,0.96,0,8.321,257.0
32,2020-09-06 20:00:00,Overcast,cloudy,0.6078,0.17,rain,13.41,15.65,13.41,1,1007.5,0.69,0.87,14,0.95,0,9.375,256.9
33,2020-09-06 21:00:00,Overcast,cloudy,0.4252,0.15,rain,13.32,15.21,13.32,1,1008.3,0.65,0.78,0,0.91,0,11.597,257.0
34,2020-09-06 22:00:00,Mostly Cloudy,partly-cloudy-night,0.3306,0.15,rain,13.08,14.72,13.08,1,1008.5,0.62,0.71,9,0.84,0,15.813,257.1
35,2020-09-06 23:00:00,Mostly Cloudy,partly-cloudy-night,0.2602,0.14,rain,12.83,14.24,12.83,1,1008.6,0.59,0.66,14,0.77,0,16.093,257.1
36,2020-09-07 00:00:00,Mostly Cloudy,partly-cloudy-night,0.193,0.12,rain,12.75,13.98,12.75,1,1008.7,0.57,0.63,356,0.76,0,16.093,257.1
37,2020-09-07 01:00:00,Mostly Cloudy,partly-cloudy-night,0.1253,0.1,rain,12.72,13.83,12.72,1,1008.8,0.58,0.64,357,0.83,0,16.093,256.9
38,2020-09-07 02:00:00,Overcast,cloudy,0.0771,0.07,rain,12.79,13.84,12.79,1,1008.5,0.6,0.65,3,0.93,0,15.091,256.8
39,2020-09-07 03:00:00,Overcast,cloudy,0.0488,0.05,rain,12.98,13.95,12.98,1,1008.5,0.65,0.7,11,0.99,0,12.601,256.8
40,2020-09-07 04:00:00,Overcast,cloudy,0.0256,0.05,rain,13.04,13.94,13.04,1,1008.5,0.72,0.77,353,1.0,0,12.535,256.9
41,2020-09-07 05:00:00,Overcast,cloudy,0.0178,0.05,rain,13.03,13.91,13.03,1,1008.4,0.81,0.86,343,0.99,0,12.659,257.2
42,2020-09-07 06:00:00,Overcast,cloudy,0.0253,0.05,rain,12.99,13.91,12.99,1,1008.8,0.87,0.91,5,0.99,0,12.189,257.5
43,2020-09-07 07:00:00,Overcast,cloudy,0.0393,0.06,rain,13.49,14.5,13.49,1,1009.6,0.9,0.96,81,1.0,1,11.228,257.7
44,2020-09-07 08:00:00,Overcast,cloudy,0.0691,0.08,rain,14.31,15.44,14.31,1,1010.1,0.93,1.18,144,0.99,2,9.982,257.7
