,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2236,0.13,rain,30.42,40.5,27.56,0.85,1007.2,1.4,2.06,162,0.78,7,16.093,266.8
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2306,0.12,rain,31.84,44.1,28.12,0.81,1006.1,1.36,2.6,135,0.62,7,16.093,266.3
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.265,0.11,rain,32.71,46.5,28.57,0.79,1004.9,1.3,3.18,25,0.44,6,16.093,265.8
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2805,0.12,rain,32.96,47.53,28.84,0.79,1004.1,1.27,3.29,356,0.35,4,15.687,265.3
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2443,0.12,rain,32.67,47.95,29.25,0.82,1003.5,1.25,2.72,51,0.37,2,16.093,265.1
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2133,0.12,rain,31.51,45.59,29.13,0.87,1003.1,1.22,1.95,56,0.45,1,16.093,264.8
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2176,0.15,rain,30.27,43.2,29.18,0.94,1003.2,1.24,1.57,38,0.57,0,16.093,264.5
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2852,0.17,rain,29.27,40.96,29.1,0.99,1004.0,1.36,1.75,35,0.73,0,16.093,264.5
8,2020-09-05 20:00:00,Humid and Overcast,cloudy,0.4534,0.18,rain,28.16,37.61,28.16,1.0,1005.1,1.49,2.1,38,0.91,0,16.093,264.3
9,2020-09-05 21:00:00,Humid and Overcast,cloudy,0.8382,0.22,rain,27.4,34.57,27.4,1.0,1005.7,1.48,2.23,39,1.0,0,16.093,263.8
10,2020-09-05 22:00:00,Rain and Humid,rain,1.8744,0.31,rain,26.98,33.12,26.98,1.0,1005.8,1.3,2.06,34,0.99,0,16.093,262.7
11,2020-09-05 23:00:00,Rain and Humid,rain,3.4894,0.4,rain,26.7,31.85,26.7,1.0,1005.6,1.05,1.8,18,0.98,0,16.093,261.6
12,2020-09-06 00:00:00,Rain and Humid,rain,3.9911,0.41,rain,26.45,29.85,26.45,1.0,1005.5,0.86,1.59,13,0.91,0,16.093,261.2
13,2020-09-06 01:00:00,Rain and Humid,rain,2.4951,0.38,rain,26.09,28.73,26.09,1.0,1005.2,0.76,1.42,6,0.71,0,16.093,261.8
14,2020-09-06 02:00:00,Rain and Humid,rain,1.1063,0.28,rain,25.66,27.42,25.66,1.0,1005.0,0.7,1.3,8,0.5,0,16.093,262.7
15,2020-09-06 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.7509,0.22,rain,25.16,26.33,25.16,1.0,1004.9,0.65,1.25,16,0.41,0,16.093,263.6
16,2020-09-06 04:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.7401,0.24,rain,24.8,26.01,24.8,1.0,1004.9,0.62,1.33,46,0.47,0,16.093,264.3
