,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.5265,0.07,rain,28.56,35.9,26.86,0.91,1007.6,1.17,1.5,168,0.3,10,16.093,266.7
1,2020-09-05 13:00:00,Humid,clear-day,0.4893,0.08,rain,30.1,39.35,27.22,0.85,1006.7,1.23,1.77,199,0.3,9,16.093,266.7
2,2020-09-05 14:00:00,Humid,clear-day,0.4837,0.08,rain,30.86,40.83,27.26,0.81,1005.7,1.24,1.99,222,0.3,8,16.093,266.9
3,2020-09-05 15:00:00,Humid,clear-day,0.472,0.08,rain,30.88,40.86,27.25,0.81,1004.9,1.2,2.05,237,0.31,5,16.093,267.0
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3735,0.08,rain,30.55,41.19,27.81,0.85,1004.4,1.06,1.89,251,0.33,3,16.093,267.0
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2807,0.08,rain,29.59,39.72,28.04,0.91,1004.1,0.92,1.64,255,0.35,1,16.093,266.9
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.232,0.09,rain,28.23,36.75,27.88,0.98,1004.3,0.85,1.46,228,0.32,0,16.093,266.8
7,2020-09-05 19:00:00,Humid,clear-night,0.1867,0.09,rain,26.88,32.88,26.88,1.0,1004.9,0.89,1.36,161,0.24,0,16.093,266.7
8,2020-09-05 20:00:00,Humid,clear-night,0.1637,0.09,rain,25.31,26.62,25.31,1.0,1005.8,0.96,1.29,79,0.13,0,16.093,266.6
9,2020-09-05 21:00:00,Humid,clear-night,0.138,0.08,rain,24.3,25.7,24.3,1.0,1006.4,1.03,1.29,28,0.07,0,16.093,266.6
10,2020-09-05 22:00:00,Humid,clear-night,0.0785,0.05,rain,23.92,25.26,23.92,1.0,1006.6,1.09,1.37,24,0.06,0,16.093,266.7
11,2020-09-05 23:00:00,Humid,clear-night,0.0426,0.03,rain,23.97,25.26,23.97,1.0,1006.9,1.15,1.48,40,0.06,0,16.093,266.9
12,2020-09-06 00:00:00,Humid,clear-night,0.0347,0.02,rain,23.98,25.19,23.98,1.0,1006.8,1.18,1.57,50,0.05,0,16.093,266.7
13,2020-09-06 01:00:00,Humid,clear-night,0.0181,0.02,rain,23.81,24.97,23.81,1.0,1006.5,1.19,1.63,52,0.03,0,16.093,266.1
14,2020-09-06 02:00:00,Humid,clear-night,0.0041,0.01,rain,23.48,24.58,23.48,1.0,1005.9,1.18,1.67,53,0.01,0,16.093,265.3
15,2020-09-06 03:00:00,Humid,clear-night,0.0,0.0,,23.13,24.17,23.13,1.0,1005.4,1.17,1.68,53,0.0,0,16.093,265.0
16,2020-09-06 04:00:00,Humid,clear-night,0.0,0.0,,22.61,23.59,22.61,1.0,1005.3,1.17,1.65,50,0.02,0,16.093,265.1
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,22.16,23.08,22.16,1.0,1005.4,1.15,1.59,48,0.04,0,16.093,265.4
18,2020-09-06 06:00:00,Humid,clear-night,0.0,0.0,,22.34,23.29,22.34,1.0,1005.9,1.07,1.39,60,0.07,0,16.093,265.8
19,2020-09-06 07:00:00,Humid,clear-day,0.0057,0.02,rain,23.42,24.32,23.04,0.98,1006.5,0.86,0.99,93,0.13,0,16.093,266.3
20,2020-09-06 08:00:00,Humid,clear-day,0.0112,0.02,rain,25.31,26.67,24.12,0.93,1007.4,0.65,0.65,160,0.19,2,16.093,266.9
21,2020-09-06 09:00:00,Humid,clear-day,0.0314,0.02,rain,26.98,30.63,25.18,0.9,1007.7,0.62,0.62,217,0.22,4,16.093,267.0
22,2020-09-06 10:00:00,Humid,clear-day,0.0955,0.03,rain,28.34,34.23,25.85,0.86,1007.1,0.87,0.87,206,0.23,7,16.093,266.5
23,2020-09-06 11:00:00,Humid,clear-day,0.2214,0.06,rain,29.37,36.85,26.43,0.84,1006.6,1.22,1.24,212,0.22,9,16.093,265.8
