,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5527,0.08,rain,28.76,36.88,27.26,0.92,1007.6,1.14,1.5,156,0.32,9,16.093,266.8
1,2020-09-05 13:00:00,Humid,clear-day,0.5077,0.08,rain,30.32,40.3,27.55,0.85,1006.7,1.21,1.77,196,0.31,9,16.093,266.8
2,2020-09-05 14:00:00,Humid,clear-day,0.4908,0.08,rain,31.15,41.62,27.43,0.81,1005.7,1.23,2.0,221,0.29,8,16.093,266.9
3,2020-09-05 15:00:00,Humid,clear-day,0.4722,0.08,rain,31.3,41.78,27.36,0.8,1004.9,1.19,2.06,237,0.29,6,16.093,267.1
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3741,0.08,rain,31.06,42.71,28.13,0.84,1004.4,1.06,1.9,251,0.32,3,16.093,267.1
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2847,0.08,rain,30.08,41.26,28.37,0.91,1004.1,0.91,1.64,255,0.35,1,16.093,267.0
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2353,0.09,rain,28.74,38.35,28.22,0.97,1004.2,0.85,1.45,228,0.33,0,16.093,266.9
7,2020-09-05 19:00:00,Humid,clear-night,0.1817,0.09,rain,27.35,34.34,27.35,1.0,1004.9,0.89,1.36,161,0.24,0,16.093,266.7
8,2020-09-05 20:00:00,Humid,clear-night,0.1493,0.09,rain,25.77,28.15,25.77,1.0,1005.8,0.96,1.3,79,0.14,0,16.093,266.6
9,2020-09-05 21:00:00,Humid,clear-night,0.1225,0.07,rain,24.79,26.12,24.79,1.0,1006.3,1.03,1.3,28,0.08,0,16.093,266.5
10,2020-09-05 22:00:00,Humid,clear-night,0.0708,0.05,rain,24.42,25.78,24.42,1.0,1006.5,1.1,1.37,24,0.07,0,16.093,266.7
11,2020-09-05 23:00:00,Humid,clear-night,0.039,0.03,rain,24.4,25.7,24.4,1.0,1006.8,1.15,1.48,39,0.06,0,16.093,266.8
12,2020-09-06 00:00:00,Humid,clear-night,0.0308,0.02,rain,24.36,25.59,24.36,1.0,1006.7,1.19,1.58,50,0.05,0,16.093,266.7
13,2020-09-06 01:00:00,Humid,clear-night,0.0158,0.02,rain,24.22,25.4,24.22,1.0,1006.5,1.2,1.64,52,0.03,0,16.093,266.0
14,2020-09-06 02:00:00,Humid,clear-night,0.0037,0.01,rain,23.94,25.06,23.94,1.0,1005.9,1.2,1.68,53,0.01,0,16.093,265.3
15,2020-09-06 03:00:00,Humid,clear-night,0.0,0.0,,23.51,24.56,23.51,1.0,1005.5,1.19,1.69,53,0.0,0,16.093,265.0
16,2020-09-06 04:00:00,Humid,clear-night,0.0,0.0,,22.9,23.88,22.9,1.0,1005.4,1.18,1.67,50,0.02,0,16.093,265.1
17,2020-09-06 05:00:00,Humid,clear-night,0.0,0.0,,22.43,23.36,22.43,1.0,1005.5,1.16,1.6,47,0.04,0,16.093,265.4
18,2020-09-06 06:00:00,Humid,clear-night,0.0,0.0,,22.56,23.51,22.56,1.0,1005.9,1.07,1.39,59,0.08,0,16.093,265.8
19,2020-09-06 07:00:00,Humid,clear-day,0.0061,0.02,rain,23.68,24.58,23.24,0.97,1006.5,0.86,0.98,92,0.13,0,16.093,266.3
20,2020-09-06 08:00:00,Humid,clear-day,0.0122,0.02,rain,25.7,27.31,24.42,0.93,1007.3,0.64,0.64,156,0.18,2,16.093,266.9
21,2020-09-06 09:00:00,Humid,clear-day,0.0339,0.02,rain,27.37,32.08,25.49,0.9,1007.6,0.61,0.61,212,0.22,4,16.093,267.0
22,2020-09-06 10:00:00,Humid,clear-day,0.1014,0.04,rain,28.73,35.33,26.19,0.86,1007.1,0.87,0.87,204,0.23,7,16.093,266.5
