,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5557,0.08,rain,27.34,33.75,27.03,0.98,1007.3,1.08,1.76,73,0.39,9,16.093,267.4
1,2020-09-05 13:00:00,Humid,clear-day,0.5626,0.08,rain,28.89,36.66,26.93,0.89,1006.4,1.16,2.03,146,0.29,9,16.093,267.4
2,2020-09-05 14:00:00,Humid,clear-day,0.5599,0.08,rain,30.06,38.5,26.69,0.82,1005.3,1.18,2.26,223,0.19,8,16.093,267.6
3,2020-09-05 15:00:00,Humid,clear-day,0.5056,0.09,rain,30.63,39.72,26.82,0.8,1004.6,1.16,2.3,237,0.14,6,16.093,267.9
4,2020-09-05 16:00:00,Humid,clear-day,0.3689,0.09,rain,30.36,40.26,27.47,0.85,1004.1,1.08,2.09,227,0.18,3,16.093,268.0
5,2020-09-05 17:00:00,Humid,clear-day,0.29,0.09,rain,29.24,38.4,27.66,0.91,1003.8,1.0,1.77,288,0.25,1,16.093,268.1
6,2020-09-05 18:00:00,Humid,clear-day,0.2566,0.1,rain,27.63,34.82,27.39,0.99,1003.8,0.97,1.55,249,0.29,0,16.093,268.0
7,2020-09-05 19:00:00,Humid,clear-night,0.1546,0.09,rain,26.35,30.81,26.35,1.0,1004.4,1.04,1.44,206,0.29,0,16.093,267.8
8,2020-09-05 20:00:00,Humid,clear-night,0.0652,0.07,rain,25.11,25.82,25.11,1.0,1005.3,1.12,1.38,45,0.27,0,16.093,267.5
9,2020-09-05 21:00:00,Humid,clear-night,0.0338,0.05,rain,24.35,25.71,24.35,1.0,1006.2,1.17,1.39,29,0.25,0,16.093,267.3
10,2020-09-05 22:00:00,Humid,clear-night,0.0251,0.03,rain,24.04,25.3,24.04,1.0,1006.3,1.2,1.46,31,0.24,0,16.093,267.0
11,2020-09-05 23:00:00,Humid,clear-night,0.0201,0.03,rain,23.95,25.14,23.95,1.0,1006.3,1.22,1.57,42,0.22,0,16.093,266.8
12,2020-09-06 00:00:00,Humid,clear-night,0.0153,0.02,rain,23.79,24.91,23.79,1.0,1006.1,1.25,1.65,49,0.19,0,16.093,266.4
13,2020-09-06 01:00:00,Humid,clear-night,0.0071,0.02,rain,23.37,24.42,23.37,1.0,1005.7,1.31,1.69,50,0.14,0,16.093,265.8
14,2020-09-06 02:00:00,Humid,clear-night,0.0,0.0,,23.11,24.13,23.11,1.0,1004.9,1.36,1.71,50,0.1,0,16.093,265.3
15,2020-09-06 03:00:00,Humid,clear-night,0.0,0.0,,22.95,23.96,22.95,1.0,1004.8,1.36,1.71,49,0.07,0,16.093,265.1
16,2020-09-06 04:00:00,Humid,clear-night,0.0,0.0,,22.72,23.72,22.72,1.0,1004.7,1.31,1.7,45,0.09,0,16.093,265.4
17,2020-09-06 05:00:00,Humid,clear-night,0.0,0.0,,22.65,23.65,22.65,1.0,1005.1,1.22,1.64,42,0.12,0,16.093,265.9
18,2020-09-06 06:00:00,Humid,clear-night,0.0118,0.02,rain,22.96,24.0,22.96,1.0,1005.5,1.09,1.43,55,0.16,0,16.093,266.2
