,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.1467,0.03,rain,31.42,33.57,20.11,0.51,1007.6,1.07,1.81,139,0.15,11,13.942,266.8
1,2020-09-05 13:00:00,Clear,clear-day,0.3926,0.06,rain,31.83,34.62,20.87,0.52,1006.5,1.13,1.78,144,0.19,10,12.419,267.1
2,2020-09-05 14:00:00,Clear,clear-day,0.7781,0.07,rain,31.49,35.15,22.0,0.57,1005.4,1.14,1.62,143,0.22,8,11.501,267.6
3,2020-09-05 15:00:00,Humid,clear-day,1.0745,0.07,rain,30.94,35.48,23.08,0.63,1004.7,1.07,1.49,147,0.24,5,10.926,267.8
4,2020-09-05 16:00:00,Humid,clear-day,1.1084,0.08,rain,30.45,35.78,24.03,0.69,1004.3,0.91,1.41,165,0.27,3,10.483,267.7
5,2020-09-05 17:00:00,Humid,clear-day,1.0016,0.08,rain,29.58,34.72,24.25,0.73,1004.2,0.72,1.35,181,0.29,1,10.629,267.6
6,2020-09-05 18:00:00,Humid,clear-day,0.8491,0.08,rain,28.39,32.75,24.17,0.78,1004.5,0.63,1.33,150,0.26,0,12.399,267.5
7,2020-09-05 19:00:00,Humid,clear-night,0.654,0.07,rain,26.76,29.28,23.45,0.82,1005.3,0.67,1.33,85,0.18,0,16.093,267.7
8,2020-09-05 20:00:00,Humid,clear-night,0.4544,0.07,rain,25.11,25.76,22.57,0.86,1006.3,0.76,1.36,6,0.08,0,16.093,267.9
9,2020-09-05 21:00:00,Clear,clear-night,0.3372,0.06,rain,24.02,24.82,22.21,0.9,1007.0,0.83,1.42,310,0.02,0,16.093,267.3
10,2020-09-05 22:00:00,Clear,clear-night,0.2952,0.06,rain,23.46,24.26,22.04,0.92,1007.4,0.89,1.48,301,0.01,0,16.093,265.7
11,2020-09-05 23:00:00,Clear,clear-night,0.2903,0.05,rain,23.08,23.83,21.57,0.91,1007.5,0.94,1.56,312,0.01,0,9.972,263.8
12,2020-09-06 00:00:00,Clear,clear-night,0.2918,0.05,rain,22.86,23.54,21.11,0.9,1007.5,0.96,1.59,319,0.04,0,7.763,262.8
13,2020-09-06 01:00:00,Clear,clear-night,0.3007,0.05,rain,22.56,23.18,20.56,0.88,1007.3,0.96,1.56,316,0.19,0,12.503,263.3
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.3095,0.06,rain,22.2,22.74,19.91,0.87,1007.1,0.95,1.5,313,0.36,0,16.093,264.4
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.2503,0.05,rain,21.8,22.25,19.09,0.85,1007.0,0.92,1.44,314,0.48,0,16.093,265.1
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.1119,0.04,rain,21.08,21.41,18.1,0.83,1007.0,0.88,1.37,320,0.51,0,16.093,265.1
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0199,0.02,rain,20.53,20.78,17.4,0.82,1007.4,0.84,1.29,329,0.51,0,16.093,264.9
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0057,0.01,rain,20.56,20.76,17.0,0.8,1007.3,0.75,1.15,344,0.47,0,16.093,265.0
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0046,0.01,rain,22.03,22.21,17.16,0.74,1007.6,0.59,0.86,3,0.37,1,16.093,265.5
20,2020-09-06 08:00:00,Clear,clear-day,0.0061,0.01,rain,24.31,24.53,17.85,0.67,1008.3,0.43,0.59,21,0.26,2,16.093,265.9
21,2020-09-06 09:00:00,Clear,clear-day,0.0306,0.01,rain,26.25,26.72,18.43,0.62,1008.8,0.46,0.59,42,0.18,5,16.093,265.6
22,2020-09-06 10:00:00,Clear,clear-day,0.1399,0.03,rain,28.09,29.57,19.44,0.59,1007.9,0.74,0.92,84,0.14,8,16.093,264.3
23,2020-09-06 11:00:00,Clear,clear-day,0.3755,0.05,rain,29.78,31.99,20.53,0.58,1007.1,1.11,1.39,122,0.12,10,16.093,262.5
24,2020-09-06 12:00:00,Clear,clear-day,0.6413,0.07,rain,31.47,34.58,21.37,0.55,1006.3,1.35,1.71,145,0.13,11,16.093,261.5
25,2020-09-06 13:00:00,Clear,clear-day,0.853,0.08,rain,32.35,35.89,21.63,0.53,1005.4,1.41,1.83,151,0.19,10,16.093,261.5
26,2020-09-06 14:00:00,Clear,clear-day,1.0167,0.07,rain,32.58,36.55,22.04,0.54,1004.5,1.4,1.87,149,0.27,8,15.285,261.9
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1028,0.07,rain,32.11,36.57,22.65,0.57,1004.0,1.33,1.82,148,0.35,5,12.859,262.3
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.081,0.07,rain,31.4,36.32,23.3,0.62,1003.9,1.19,1.66,149,0.46,3,9.593,262.5
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9848,0.07,rain,30.22,34.97,23.55,0.68,1004.1,1.02,1.47,148,0.54,1,6.789,262.6
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8717,0.08,rain,29.05,33.21,23.46,0.72,1004.7,0.91,1.4,129,0.53,0,7.262,262.6
31,2020-09-06 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.7576,0.08,rain,27.31,29.94,22.91,0.77,1005.8,0.87,1.51,85,0.37,0,12.389,262.3
32,2020-09-06 20:00:00,Clear,clear-night,0.6264,0.09,rain,25.48,26.02,21.94,0.81,1007.0,0.88,1.68,28,0.16,0,16.093,262.0
33,2020-09-06 21:00:00,Clear,clear-night,0.4706,0.08,rain,24.33,25.01,21.48,0.84,1007.9,0.91,1.74,347,0.04,0,16.093,261.8
34,2020-09-06 22:00:00,Clear,clear-night,0.2938,0.06,rain,23.68,24.33,21.04,0.85,1008.1,0.9,1.6,334,0.02,0,16.093,261.7
35,2020-09-06 23:00:00,Clear,clear-night,0.1482,0.05,rain,23.31,23.9,20.5,0.84,1008.2,0.92,1.43,335,0.03,0,16.093,261.7
36,2020-09-07 00:00:00,Clear,clear-night,0.0639,0.04,rain,22.93,23.44,19.87,0.83,1008.3,0.94,1.29,333,0.03,0,16.093,261.7
37,2020-09-07 01:00:00,Clear,clear-night,0.0239,0.02,rain,22.3,22.73,19.07,0.82,1008.5,0.94,1.21,332,0.01,0,16.093,261.8
38,2020-09-07 02:00:00,Clear,clear-night,0.0073,0.01,rain,21.54,21.87,18.16,0.81,1008.0,0.94,1.16,332,0.0,0,16.093,262.1
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,20.83,21.06,17.22,0.8,1007.7,0.95,1.14,332,0.0,0,16.093,262.3
40,2020-09-07 04:00:00,Clear,clear-night,0.0118,0.01,rain,19.88,20.0,16.24,0.8,1008.0,0.99,1.2,328,0.0,0,16.093,262.5
41,2020-09-07 05:00:00,Clear,clear-night,0.0194,0.02,rain,19.09,19.14,15.44,0.79,1008.2,1.02,1.27,327,0.0,0,16.093,262.6
42,2020-09-07 06:00:00,Clear,clear-day,0.0226,0.02,rain,19.02,19.01,14.91,0.77,1008.5,0.97,1.23,339,0.08,0,16.093,263.0
43,2020-09-07 07:00:00,Partly Cloudy,partly-cloudy-day,0.0206,0.02,rain,21.03,21.06,15.72,0.72,1008.9,0.8,1.02,8,0.33,0,16.093,263.6
44,2020-09-07 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0354,0.02,rain,23.95,24.09,17.08,0.65,1009.2,0.6,0.79,47,0.62,2,16.093,264.3
45,2020-09-07 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0822,0.04,rain,26.45,26.86,17.99,0.6,1009.0,0.57,0.7,80,0.76,4,16.093,264.2
46,2020-09-07 10:00:00,Mostly Cloudy,partly-cloudy-day,0.182,0.06,rain,28.45,29.68,18.83,0.56,1008.6,0.78,0.85,106,0.67,6,16.093,263.4
47,2020-09-07 11:00:00,Partly Cloudy,partly-cloudy-day,0.3349,0.07,rain,30.3,31.96,19.56,0.53,1007.9,1.06,1.1,129,0.51,8,16.093,262.5
48,2020-09-07 12:00:00,Partly Cloudy,partly-cloudy-day,0.486,0.07,rain,31.49,33.69,20.17,0.51,1007.3,1.25,1.29,144,0.48,9,16.093,261.7
