,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.1817,0.04,rain,24.5,24.64,16.87,0.63,1007.9,1.3,1.97,138,0.27,10,12.969,265.4
1,2020-09-05 13:00:00,Clear,clear-day,0.3944,0.06,rain,25.2,25.44,17.9,0.64,1006.9,1.31,1.81,137,0.28,10,12.685,265.8
2,2020-09-05 14:00:00,Clear,clear-day,0.6968,0.07,rain,25.19,25.56,19.02,0.69,1005.7,1.23,1.52,134,0.29,8,13.335,266.6
3,2020-09-05 15:00:00,Clear,clear-day,0.9322,0.07,rain,24.48,24.95,19.87,0.76,1005.0,1.12,1.35,132,0.31,5,13.781,266.9
4,2020-09-05 16:00:00,Partly Cloudy,partly-cloudy-day,0.9874,0.08,rain,23.59,24.18,20.59,0.83,1004.7,0.99,1.35,134,0.37,3,13.631,266.9
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.9292,0.08,rain,22.52,23.19,20.89,0.9,1004.5,0.85,1.41,130,0.43,1,13.722,266.7
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.7934,0.08,rain,21.52,22.19,20.55,0.94,1004.8,0.76,1.4,106,0.42,0,15.062,266.8
7,2020-09-05 19:00:00,Clear,clear-night,0.5801,0.08,rain,20.25,20.88,19.82,0.97,1005.6,0.75,1.27,67,0.3,0,16.093,267.2
8,2020-09-05 20:00:00,Clear,clear-night,0.3655,0.07,rain,19.05,19.61,18.99,1.0,1006.7,0.78,1.13,13,0.15,0,16.093,267.6
9,2020-09-05 21:00:00,Clear,clear-night,0.2422,0.06,rain,18.23,18.72,18.23,1.0,1007.4,0.82,1.13,331,0.06,0,16.093,267.1
10,2020-09-05 22:00:00,Clear,clear-night,0.1914,0.05,rain,17.8,18.23,17.66,0.99,1007.7,0.88,1.26,323,0.03,0,16.093,265.3
11,2020-09-05 23:00:00,Clear,clear-night,0.173,0.04,rain,17.76,18.14,17.37,0.98,1007.8,0.94,1.48,327,0.03,0,16.093,263.2
12,2020-09-06 00:00:00,Clear,clear-night,0.1676,0.04,rain,17.69,18.04,17.15,0.97,1007.8,0.98,1.62,329,0.06,0,15.562,262.1
13,2020-09-06 01:00:00,Clear,clear-night,0.1716,0.04,rain,17.64,17.95,16.91,0.95,1007.7,0.99,1.68,326,0.17,0,16.093,262.5
14,2020-09-06 02:00:00,Clear,clear-night,0.1783,0.05,rain,17.65,17.92,16.6,0.94,1007.5,0.99,1.7,325,0.29,0,16.093,263.5
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.1469,0.04,rain,17.74,17.94,16.16,0.9,1007.4,0.99,1.7,326,0.37,0,16.093,264.3
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0709,0.03,rain,17.53,17.64,15.55,0.88,1007.7,1.0,1.67,329,0.39,0,16.093,264.6
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0196,0.02,rain,17.21,17.25,14.99,0.87,1007.6,1.01,1.59,337,0.38,0,16.093,264.7
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.009,0.01,rain,17.26,17.26,14.55,0.84,1007.4,0.94,1.41,357,0.34,0,16.093,265.0
19,2020-09-06 07:00:00,Clear,clear-day,0.0054,0.01,rain,17.98,17.98,14.5,0.8,1007.7,0.76,1.04,38,0.26,1,16.093,265.4
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,19.42,19.43,15.25,0.77,1008.2,0.59,0.67,90,0.17,2,16.093,265.7
21,2020-09-06 09:00:00,Clear,clear-day,0.0183,0.01,rain,20.86,20.9,15.83,0.73,1009.0,0.6,0.67,114,0.11,5,16.093,265.3
22,2020-09-06 10:00:00,Clear,clear-day,0.084,0.02,rain,22.14,22.23,16.35,0.7,1008.6,0.89,1.0,127,0.09,8,16.093,263.9
23,2020-09-06 11:00:00,Clear,clear-day,0.241,0.04,rain,23.62,23.77,17.01,0.67,1007.5,1.27,1.48,135,0.09,11,16.093,262.2
24,2020-09-06 12:00:00,Clear,clear-day,0.4426,0.06,rain,24.9,25.13,17.72,0.64,1006.6,1.49,1.81,140,0.13,11,16.093,261.2
25,2020-09-06 13:00:00,Clear,clear-day,0.651,0.07,rain,25.64,25.94,18.49,0.65,1005.7,1.52,1.85,141,0.24,10,15.957,261.1
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.8618,0.07,rain,25.56,25.95,19.21,0.68,1004.8,1.45,1.79,137,0.37,8,14.067,261.3
27,2020-09-06 15:00:00,Partly Cloudy,partly-cloudy-day,1.0065,0.08,rain,24.77,25.23,19.76,0.74,1004.3,1.36,1.73,133,0.49,5,12.065,261.6
28,2020-09-06 16:00:00,Partly Cloudy,partly-cloudy-day,1.0408,0.08,rain,23.8,24.35,20.3,0.81,1004.2,1.24,1.7,130,0.58,3,9.461,261.9
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.9944,0.08,rain,22.83,23.45,20.57,0.87,1004.4,1.11,1.65,124,0.65,1,7.306,262.3
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.9028,0.08,rain,21.81,22.41,20.19,0.91,1005.0,1.01,1.57,105,0.62,0,7.721,262.4
31,2020-09-06 19:00:00,Partly Cloudy,partly-cloudy-night,0.7771,0.08,rain,20.55,21.08,19.31,0.93,1006.1,0.92,1.44,70,0.47,0,11.713,262.1
32,2020-09-06 20:00:00,Clear,clear-night,0.6187,0.08,rain,19.34,19.79,18.36,0.94,1007.4,0.86,1.32,25,0.26,0,16.093,261.7
33,2020-09-06 21:00:00,Clear,clear-night,0.4413,0.08,rain,18.42,18.8,17.57,0.95,1008.3,0.85,1.28,352,0.12,0,16.093,261.5
34,2020-09-06 22:00:00,Clear,clear-night,0.2492,0.06,rain,17.95,18.25,16.93,0.94,1008.6,0.89,1.27,343,0.09,0,16.093,261.2
35,2020-09-06 23:00:00,Clear,clear-night,0.1055,0.05,rain,17.87,18.12,16.58,0.92,1008.9,0.96,1.31,343,0.08,0,16.093,261.1
36,2020-09-07 00:00:00,Clear,clear-night,0.0383,0.03,rain,17.74,17.94,16.25,0.91,1009.0,1.01,1.33,342,0.07,0,16.093,261.0
