,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0841,0.02,rain,28.99,29.72,17.72,0.51,1007.6,1.28,1.79,73,0.09,11,16.093,268.1
1,2020-09-05 13:00:00,Clear,clear-day,0.1948,0.04,rain,29.11,30.14,18.44,0.53,1006.6,1.42,2.07,83,0.21,10,16.06,268.3
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.4008,0.06,rain,28.4,29.74,19.2,0.57,1005.4,1.51,2.28,88,0.35,7,9.605,268.4
3,2020-09-05 15:00:00,Partly Cloudy,partly-cloudy-day,0.6292,0.07,rain,27.56,29.04,19.73,0.62,1004.7,1.48,2.26,77,0.42,5,5.759,268.4
4,2020-09-05 16:00:00,Partly Cloudy,partly-cloudy-day,0.8285,0.08,rain,26.93,28.44,20.04,0.66,1004.3,1.31,1.92,22,0.42,3,5.481,268.4
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.9928,0.09,rain,26.19,27.33,19.73,0.68,1004.1,1.1,1.47,355,0.37,1,6.658,268.3
6,2020-09-05 18:00:00,Clear,clear-day,1.0457,0.09,rain,24.98,25.31,19.24,0.7,1004.4,0.95,1.22,25,0.3,0,7.591,268.1
7,2020-09-05 19:00:00,Clear,clear-night,0.9283,0.1,rain,23.91,24.3,19.02,0.74,1005.2,0.88,1.24,36,0.2,0,7.918,268.0
8,2020-09-05 20:00:00,Clear,clear-night,0.7435,0.11,rain,22.92,23.29,18.75,0.77,1006.3,0.84,1.35,349,0.09,0,8.432,267.8
9,2020-09-05 21:00:00,Clear,clear-night,0.6206,0.09,rain,22.0,22.33,18.34,0.8,1007.0,0.84,1.4,314,0.03,0,9.598,267.1
10,2020-09-05 22:00:00,Clear,clear-night,0.5619,0.08,rain,21.17,21.48,17.9,0.82,1007.3,0.87,1.34,310,0.04,0,11.838,265.6
11,2020-09-05 23:00:00,Clear,clear-night,0.5334,0.08,rain,20.51,20.79,17.56,0.83,1007.5,0.93,1.25,317,0.09,0,14.227,263.9
12,2020-09-06 00:00:00,Clear,clear-night,0.551,0.08,rain,19.72,19.97,17.15,0.85,1007.5,0.97,1.2,321,0.17,0,15.139,263.3
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.6485,0.09,rain,19.3,19.54,16.96,0.86,1007.3,0.97,1.18,317,0.31,0,13.674,263.9
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.7516,0.09,rain,19.24,19.47,16.92,0.86,1007.1,0.97,1.18,312,0.47,0,11.775,265.0
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.6689,0.09,rain,19.5,19.73,16.92,0.85,1006.9,0.96,1.19,313,0.57,0,12.288,265.7
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.3674,0.08,rain,19.86,20.07,16.91,0.83,1006.9,0.94,1.22,321,0.59,0,16.093,265.6
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.1155,0.05,rain,20.14,20.33,16.83,0.81,1007.0,0.91,1.24,331,0.57,0,16.093,265.4
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0264,0.02,rain,20.3,20.45,16.58,0.79,1007.6,0.86,1.19,344,0.54,0,16.093,265.4
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0099,0.01,rain,21.41,21.54,16.57,0.74,1008.1,0.76,0.99,359,0.48,1,16.093,266.0
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0085,0.01,rain,22.92,23.05,16.73,0.68,1008.7,0.66,0.8,16,0.4,2,16.093,266.5
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0313,0.02,rain,24.13,24.25,16.86,0.64,1008.8,0.7,0.84,30,0.33,4,16.093,266.4
22,2020-09-06 10:00:00,Clear,clear-day,0.1491,0.03,rain,25.53,25.86,17.39,0.61,1007.9,0.91,1.22,54,0.27,7,16.093,265.0
23,2020-09-06 11:00:00,Clear,clear-day,0.4195,0.06,rain,27.01,28.03,18.11,0.58,1007.1,1.18,1.7,86,0.21,10,16.093,263.3
24,2020-09-06 12:00:00,Clear,clear-day,0.7279,0.08,rain,28.47,29.59,18.67,0.55,1006.3,1.36,2.06,105,0.19,11,16.093,262.2
25,2020-09-06 13:00:00,Clear,clear-day,0.9726,0.09,rain,29.29,30.6,19.05,0.54,1005.4,1.44,2.26,109,0.21,10,15.48,262.3
26,2020-09-06 14:00:00,Clear,clear-day,1.1578,0.09,rain,29.45,30.91,19.3,0.54,1004.4,1.47,2.38,105,0.25,8,14.724,262.8
