,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Foggy,fog,0.1585,0.07,rain,10.51,13.99,10.51,1,1007.8,1.76,2.69,111,0.58,9,0.0,258.9
1,2020-09-05 13:00:00,Foggy,fog,0.2123,0.07,rain,10.82,14.15,10.82,1,1006.7,1.67,2.57,114,0.7,8,0.163,258.1
2,2020-09-05 14:00:00,Foggy,fog,0.249,0.07,rain,10.81,14.18,10.81,1,1005.5,1.51,2.24,116,0.83,6,0.596,257.4
3,2020-09-05 15:00:00,Foggy,fog,0.2615,0.07,rain,10.52,14.2,10.52,1,1004.9,1.41,1.98,113,0.91,4,0.915,257.0
4,2020-09-05 16:00:00,Foggy,fog,0.2567,0.07,rain,10.02,13.02,10.02,1,1004.8,1.4,1.83,103,0.91,2,0.657,256.9
5,2020-09-05 17:00:00,Foggy,fog,0.2607,0.08,rain,9.39,8.79,9.39,1,1004.9,1.39,1.7,88,0.93,1,0.324,256.9
6,2020-09-05 18:00:00,Foggy,fog,0.2432,0.08,rain,9.03,8.6,9.03,1,1005.6,1.38,1.57,80,0.95,0,0.105,256.8
7,2020-09-05 19:00:00,Foggy,fog,0.1681,0.08,rain,8.65,9.0,8.65,1,1007.2,1.35,1.46,83,0.97,0,0.01,256.7
8,2020-09-05 20:00:00,Foggy,fog,0.0913,0.07,rain,8.41,11.72,8.41,1,1008.5,1.3,1.38,85,0.99,0,0.0,256.4
9,2020-09-05 21:00:00,Foggy,fog,0.0549,0.07,rain,8.35,11.01,8.35,1,1009.3,1.25,1.3,84,1.0,0,0.822,256.2
10,2020-09-05 22:00:00,Overcast,cloudy,0.0434,0.07,rain,8.32,10.62,8.32,1,1009.5,1.17,1.2,82,1.0,0,5.065,255.5
11,2020-09-05 23:00:00,Overcast,cloudy,0.0414,0.07,rain,8.18,10.18,8.18,1,1009.4,1.09,1.1,79,1.0,0,10.087,254.7
12,2020-09-06 00:00:00,Overcast,cloudy,0.0506,0.07,rain,7.95,9.69,7.95,1,1009.3,1.04,1.04,72,0.98,0,13.696,254.2
13,2020-09-06 01:00:00,Overcast,cloudy,0.0786,0.07,rain,7.7,9.3,7.7,1,1009.3,1.04,1.04,64,0.9,0,15.771,253.8
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.1208,0.07,rain,7.35,8.83,7.35,1,1009.2,1.05,1.05,49,0.8,0,16.093,253.6
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.1401,0.07,rain,7.27,8.52,7.27,1,1009.1,1.06,1.06,45,0.75,0,16.093,253.6
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.1173,0.07,rain,7.05,8.17,7.05,1,1009.3,1.05,1.05,59,0.77,0,16.093,254.0
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.084,0.07,rain,6.59,7.69,6.59,1,1009.5,1.06,1.06,58,0.81,0,16.093,254.6
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0638,0.06,rain,6.4,7.65,6.4,1,1009.7,1.08,1.08,69,0.83,0,16.093,255.4
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0529,0.06,rain,6.83,8.36,6.83,1,1009.9,1.14,1.14,83,0.8,1,15.878,256.7
20,2020-09-06 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0473,0.06,rain,7.86,9.73,7.86,1,1010.1,1.2,1.22,95,0.77,3,13.535,257.8
21,2020-09-06 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0513,0.06,rain,8.88,10.31,8.88,1,1009.9,1.3,1.39,101,0.75,5,10.549,258.1
22,2020-09-06 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0702,0.06,rain,9.99,10.05,9.99,1,1009.1,1.43,1.72,107,0.76,7,6.54,257.0
23,2020-09-06 11:00:00,Foggy,fog,0.1047,0.06,rain,11.18,13.56,11.18,1,1008.2,1.57,2.26,117,0.78,8,2.355,255.2
24,2020-09-06 12:00:00,Foggy,fog,0.1531,0.06,rain,11.84,14.26,11.84,1,1007.2,1.63,2.55,118,0.82,8,0.0,253.7
25,2020-09-06 13:00:00,Foggy,fog,0.2244,0.07,rain,11.67,14.42,11.67,1,1006.3,1.6,2.54,118,0.89,7,0.081,252.4
26,2020-09-06 14:00:00,Foggy,fog,0.3099,0.08,rain,10.82,14.13,10.82,1,1005.1,1.52,2.38,115,0.96,6,0.114,251.2
27,2020-09-06 15:00:00,Foggy,fog,0.3638,0.09,rain,9.9,12.75,9.9,1,1004.7,1.46,2.23,115,1.0,4,0.149,250.7
28,2020-09-06 16:00:00,Foggy,fog,0.3765,0.1,rain,9.35,8.7,9.35,1,1004.8,1.45,2.07,109,1.0,2,0.116,251.0
29,2020-09-06 17:00:00,Foggy,fog,0.3744,0.09,rain,8.77,8.31,8.77,1,1005.3,1.44,1.89,97,1.0,1,0.09,251.7
30,2020-09-06 18:00:00,Foggy,fog,0.3301,0.09,rain,8.52,8.04,8.52,1,1006.3,1.43,1.77,82,1.0,0,0.064,252.2
31,2020-09-06 19:00:00,Foggy,fog,0.2148,0.09,rain,8.33,7.83,8.33,1,1007.9,1.42,1.72,81,1.0,0,0.006,252.5
32,2020-09-06 20:00:00,Foggy,fog,0.112,0.08,rain,8.29,7.74,8.29,1,1009.5,1.41,1.71,83,1.0,0,0.0,252.8
33,2020-09-06 21:00:00,Foggy,fog,0.0716,0.08,rain,8.32,8.48,8.32,1,1010.4,1.37,1.64,85,1.0,0,0.592,253.1
34,2020-09-06 22:00:00,Overcast,cloudy,0.0639,0.08,rain,8.31,11.0,8.31,1,1010.6,1.28,1.44,83,1.0,0,3.712,253.2
35,2020-09-06 23:00:00,Overcast,cloudy,0.0666,0.08,rain,8.19,10.32,8.19,1,1010.6,1.18,1.23,77,1.0,0,7.165,253.3
36,2020-09-07 00:00:00,Overcast,cloudy,0.0693,0.08,rain,7.99,9.87,7.99,1,1010.5,1.1,1.15,77,1.0,0,8.373,253.1
37,2020-09-07 01:00:00,Overcast,cloudy,0.0699,0.08,rain,7.75,9.47,7.75,1,1010.4,1.08,1.1,82,0.99,0,6.175,252.8
38,2020-09-07 02:00:00,Foggy,fog,0.0761,0.07,rain,7.42,9.06,7.42,1,1010.3,1.08,1.08,82,0.99,0,3.137,252.5
39,2020-09-07 03:00:00,Foggy,fog,0.0772,0.07,rain,7.35,8.74,7.35,1,1010.3,1.05,1.05,79,0.99,0,2.655,252.4
