,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4424,0.08,rain,26.52,28.69,22.79,0.8,1007.4,1.62,2.12,209,0.83,7,6.01,263.6
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7542,0.08,rain,27.14,29.91,23.09,0.79,1006.3,1.72,2.33,209,0.76,7,6.657,263.1
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.1559,0.09,rain,26.9,29.66,23.52,0.82,1005.2,1.76,2.46,209,0.69,6,8.583,262.8
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3555,0.09,rain,25.92,27.84,24.11,0.9,1004.5,1.7,2.46,211,0.65,4,10.267,262.5
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.2195,0.09,rain,24.78,25.91,24.78,1.0,1004.1,1.55,2.29,216,0.67,2,11.595,262.3
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0562,0.1,rain,23.52,24.95,23.52,1.0,1003.9,1.34,2.01,220,0.72,1,12.835,262.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9768,0.12,rain,22.4,23.97,22.4,1.0,1004.3,1.1,1.73,211,0.77,0,13.393,261.7
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.8623,0.13,rain,21.55,23.23,21.55,1.0,1005.2,0.83,1.42,191,0.83,0,12.953,261.1
8,2020-09-05 20:00:00,Overcast,cloudy,0.7113,0.13,rain,20.77,22.48,20.77,1.0,1006.5,0.55,1.11,280,0.89,0,12.223,260.4
9,2020-09-05 21:00:00,Overcast,cloudy,0.5491,0.13,rain,19.99,21.67,19.99,1.0,1007.2,0.38,0.92,243,0.92,0,12.327,259.8
10,2020-09-05 22:00:00,Overcast,cloudy,0.3873,0.13,rain,19.74,21.3,19.74,1.0,1007.3,0.33,0.89,210,0.89,0,13.665,259.1
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.2983,0.14,rain,19.6,21.01,19.6,1.0,1007.1,0.35,0.93,25,0.84,0,15.345,258.5
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.276,0.17,rain,19.21,20.49,19.21,1.0,1006.9,0.36,0.94,3,0.81,0,16.093,258.5
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.2386,0.16,rain,18.85,20.0,18.85,1.0,1006.7,0.35,0.9,350,0.8,0,16.093,258.9
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.1984,0.12,rain,18.59,19.66,18.59,1.0,1006.4,0.35,0.84,348,0.79,0,16.073,259.5
