,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1663,0.07,rain,30.72,42.09,28.13,0.86,1006.9,1.54,1.82,174,0.85,6,16.093,267.0
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2218,0.1,rain,31.77,44.79,28.53,0.83,1005.9,1.55,2.33,172,0.68,7,16.093,266.8
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.282,0.11,rain,32.37,45.82,28.51,0.8,1004.7,1.51,3.21,132,0.49,6,16.093,266.5
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3061,0.12,rain,32.49,46.25,28.62,0.8,1003.9,1.45,3.5,10,0.37,5,16.093,266.4
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2841,0.13,rain,32.31,47.03,29.11,0.83,1003.3,1.35,2.95,95,0.36,2,16.093,266.5
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2918,0.12,rain,31.33,44.99,29.01,0.88,1003.0,1.24,2.12,36,0.38,1,16.093,266.5
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3189,0.12,rain,30.33,42.87,28.95,0.92,1003.1,1.13,1.52,10,0.43,0,16.093,266.3
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.5791,0.13,rain,29.34,40.37,28.7,0.96,1003.9,1.0,1.26,21,0.49,0,16.093,265.8
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,1.3987,0.16,rain,28.19,37.15,28.19,1.0,1005.0,0.9,1.17,28,0.56,0,16.093,265.1
9,2020-09-05 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,2.1738,0.17,rain,27.3,33.98,27.3,1.0,1005.7,0.87,1.2,35,0.63,0,16.093,264.3
10,2020-09-05 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,2.2407,0.18,rain,26.82,32.06,26.81,1.0,1005.8,0.94,1.35,42,0.7,0,16.093,263.2
11,2020-09-05 23:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.9394,0.21,rain,26.55,30.11,26.41,0.99,1005.6,1.06,1.56,49,0.77,0,16.093,262.2
12,2020-09-06 00:00:00,Rain and Humid,rain,1.6066,0.26,rain,26.28,29.24,26.04,0.99,1005.4,1.11,1.69,48,0.82,0,16.093,261.6
13,2020-09-06 01:00:00,Rain and Humid,rain,1.3523,0.29,rain,25.91,28.07,25.76,0.99,1005.2,1.08,1.72,31,0.86,0,16.093,261.4
14,2020-09-06 02:00:00,Rain and Humid,rain,1.2175,0.27,rain,25.46,26.86,25.46,1.0,1004.9,1.02,1.71,11,0.89,0,14.665,261.5
15,2020-09-06 03:00:00,Rain and Humid,rain,1.1062,0.31,rain,24.94,26.11,24.94,1.0,1004.8,0.96,1.7,11,0.89,0,12.825,261.8
16,2020-09-06 04:00:00,Possible Light Rain and Humid,rain,0.8271,0.25,rain,24.51,25.69,24.51,1.0,1004.8,0.89,1.7,39,0.86,0,12.739,262.5
